job_title,city,count,percent
6be068c4e74275ca8ed9975805e2f763Em,N806,167,8.21
3896ac0c41340ac06686eb161a775aa6kx,R892,164,24.26
c9a30a5443d04270fb0f49d437c3376bAy,B170,164,6.23
357b6e22304e1fba993bb725e5c00276aY,V932,163,13.88
e5ebf2752a03d6729cb633770e4eddd7Hd,O198,163,9.45
0cb8293fae46fb1f84b1f68d2371dc3bLQ,N806,161,27.2
4903ec45380747fb79467f74f6ddba01sx,Y232,161,40.66
c9a30a5443d04270fb0f49d437c3376bAy,Y232,161,6.11
143594a38184724594778ca447bc06fcwe,P949,160,17.43
769db4ea593ce8f93a093a84ad1baec2OY,F047,160,14.87
6be068c4e74275ca8ed9975805e2f763Em,R892,158,7.76
63c630beb7b2f471af699f711207d28aVY,F047,156,14.4
2006631955b0aa1d8a3bc1edc55e0754sn,B170,154,8.22
534952ab1cf024773caddc874099da11qn,S959,154,11.91
534952ab1cf024773caddc874099da11qn,V932,154,11.91
9e7afc7cdb61931eb7d2cc8398b80ecfSQ,V932,154,7.56
c9a30a5443d04270fb0f49d437c3376bAy,R892,153,5.81
84dbdf56ea2df1cb575a5e9ade6867f7QS,B170,152,34.62
9e7afc7cdb61931eb7d2cc8398b80ecfSQ,B170,148,7.27
09b8073e6d0a727247e9bbcf43f8e75avx,P949,145,12.33
39a3d2b8857c48c2443faeacf50ae574Xo,F047,145,9.22
bfbc45b05c5a4425210cd2cb3d84ae09GC,S959,145,4.32
3896ac0c41340ac06686eb161a775aa6kx,N806,143,21.15
39a3d2b8857c48c2443faeacf50ae574Xo,N806,143,9.1
3896ac0c41340ac06686eb161a775aa6kx,S542,140,20.71
bfbc45b05c5a4425210cd2cb3d84ae09GC,Y633,139,4.14
0cf5da7bb05dfb15718653637b8df718vT,V932,138,14.2
71f952e353628d7e2f40d40038b09ac2Tn,S542,138,7.47
5064c34286de0a0fa07ec216e1bbd200WV,N806,137,23.22
63c630beb7b2f471af699f711207d28aVY,P949,136,12.56
0cf5da7bb05dfb15718653637b8df718vT,V449,135,13.89
2006631955b0aa1d8a3bc1edc55e0754sn,N806,135,7.2
d26737bff980339cf372392e773fb063Es,V932,135,15
da7d1b1ce8fde63a5808c65adc6968c9RH,P949,135,30.13
0f788cd8169f5149bc519e585cf7148bGu,F047,134,22.83
74cbfa3620bb69031ebe4050585bd896uh,O198,134,20.43
77f94afcb944fea2069092a4c92bab1fzk,S542,133,12.48
0cf5da7bb05dfb15718653637b8df718vT,O198,132,13.58
c02aef655be4fb390a9dd9ca2443be6aUG,V932,132,18.11
c9a30a5443d04270fb0f49d437c3376bAy,S542,132,5.01
c9a30a5443d04270fb0f49d437c3376bAy,Y633,132,5.01
77f94afcb944fea2069092a4c92bab1fzk,Y633,130,12.2
c7f9349f001ec07fe76d0becea13a18azM,N806,130,11.81
e5ebf2752a03d6729cb633770e4eddd7Hd,P949,130,7.54
9e7afc7cdb61931eb7d2cc8398b80ecfSQ,Y232,129,6.34
c7f9349f001ec07fe76d0becea13a18azM,S959,129,11.72
77f94afcb944fea2069092a4c92bab1fzk,N806,128,12.01
600a4de652c1b94b122b5b1a72cdf8baqf,N806,127,20.13
b33302c688b04656f05d2a96c98e14c8cK,S959,126,15.04
09b8073e6d0a727247e9bbcf43f8e75avx,K115,125,10.63
33ed1e1a04b3fa96d01d39e545cc1f66wF,Y232,125,18.2
6951495c1941499b294fcec5f33cd242wQ,B170,124,13.45
71f952e353628d7e2f40d40038b09ac2Tn,N806,124,6.71
9e7afc7cdb61931eb7d2cc8398b80ecfSQ,Y633,123,6.04
b7b03ffc6f8bd9f3c81fcca8bf3d3edbkH,O198,121,24.01
bfbc45b05c5a4425210cd2cb3d84ae09GC,B170,120,3.57
2006631955b0aa1d8a3bc1edc55e0754sn,V932,117,6.24
9e7afc7cdb61931eb7d2cc8398b80ecfSQ,V449,117,5.75
bacd30a8f578d3c3f4e75bd227af5fa5qw,K115,117,27.08
8a6ed1d6ce11578d39635ef008e7cb2fOq,F047,116,16.36
09b8073e6d0a727247e9bbcf43f8e75avx,F379,115,9.78
357b6e22304e1fba993bb725e5c00276aY,S959,115,9.8
769db4ea593ce8f93a093a84ad1baec2OY,S542,115,10.69
534952ab1cf024773caddc874099da11qn,P949,114,8.82
534952ab1cf024773caddc874099da11qn,V449,114,8.82
74cbfa3620bb69031ebe4050585bd896uh,V449,114,17.38
c9a30a5443d04270fb0f49d437c3376bAy,V449,114,4.33
39a3d2b8857c48c2443faeacf50ae574Xo,B170,112,7.12
9e7afc7cdb61931eb7d2cc8398b80ecfSQ,N806,112,5.5
b33302c688b04656f05d2a96c98e14c8cK,N806,112,13.37
143594a38184724594778ca447bc06fcwe,S959,111,12.09
71f952e353628d7e2f40d40038b09ac2Tn,R892,111,6.01
dcbc4702b1a74e52cab4dc1e23971439LM,Y232,111,18.11
143594a38184724594778ca447bc06fcwe,K115,110,11.98
631a9ba8a33a19b1a2f6905c7714db75Jb,P949,110,36.79
c7f9349f001ec07fe76d0becea13a18azM,F379,110,9.99
6951495c1941499b294fcec5f33cd242wQ,S542,109,11.82
769db4ea593ce8f93a093a84ad1baec2OY,Y232,109,10.13
bfbc45b05c5a4425210cd2cb3d84ae09GC,O198,109,3.25
0f788cd8169f5149bc519e585cf7148bGu,P949,108,18.4
357b6e22304e1fba993bb725e5c00276aY,S542,108,9.2
9f886439f15f3c3c2b24840763edfcdbrG,S542,108,16.8
ca4d5884938fb754bf2d1b45e26822d4jc,V449,108,23.95
63c630beb7b2f471af699f711207d28aVY,B170,107,9.88
6be068c4e74275ca8ed9975805e2f763Em,O198,107,5.26
d0fe6ae336c11016ec02266f5384ca2fKS,F047,107,29.48
02e9c21342c88515b4fa7e525d9ac652bO,B170,106,15.99
2006631955b0aa1d8a3bc1edc55e0754sn,V449,106,5.66
d4c894e72cbcba3ee54f16b94c185a4bJB,K115,106,10.47
6be068c4e74275ca8ed9975805e2f763Em,V932,105,5.16
9e7afc7cdb61931eb7d2cc8398b80ecfSQ,P949,105,5.16
09b8073e6d0a727247e9bbcf43f8e75avx,F047,104,8.84
9e7afc7cdb61931eb7d2cc8398b80ecfSQ,O198,104,5.11
bfbc45b05c5a4425210cd2cb3d84ae09GC,P949,104,3.1
e5ebf2752a03d6729cb633770e4eddd7Hd,V932,104,6.03
09b8073e6d0a727247e9bbcf43f8e75avx,B170,103,8.76
6be068c4e74275ca8ed9975805e2f763Em,S542,103,5.06
3af7feeff046a1e12fba650d42d5cb70cD,V932,102,41.3
5064c34286de0a0fa07ec216e1bbd200WV,F047,102,17.29
65e915067ec7ca2082c1bfc73ffbc06bhv,K115,100,9.37
6951495c1941499b294fcec5f33cd242wQ,O198,100,10.85
947b91653b955d9d1f8435b7a0639806QW,V932,100,32.26
9e7afc7cdb61931eb7d2cc8398b80ecfSQ,S542,100,4.91
c82f110050f63259dc05a34b7f3ffe5fFR,O198,100,13.3
2d6d2afd6028853b0a50f674cd887f55zs,S959,99,14.14
6be068c4e74275ca8ed9975805e2f763Em,Y633,99,4.86
cf8025d88a7ef18800686dbd36ecfae1dF,V449,99,9.59
df25af9b3490d9a57db263dfa308c5abDG,S959,98,15.53
3091525444b8b4d7fbc725e42b1b44a2YQ,B170,97,16.28
65e915067ec7ca2082c1bfc73ffbc06bhv,V932,97,9.09
9bd8a3072d083bf92e47dfcca71a1b9doM,P949,97,35.66
0cf5da7bb05dfb15718653637b8df718vT,S959,96,9.88
32aaf57ac44954454d2ea8bd80dee594gn,R892,96,36.92
c02aef655be4fb390a9dd9ca2443be6aUG,Y232,96,13.17
c7f9349f001ec07fe76d0becea13a18azM,V449,96,8.72
d4c894e72cbcba3ee54f16b94c185a4bJB,N806,96,9.49
df25af9b3490d9a57db263dfa308c5abDG,V449,96,15.21
02e9c21342c88515b4fa7e525d9ac652bO,K115,95,14.33
09b8073e6d0a727247e9bbcf43f8e75avx,N806,95,8.08
8a6ed1d6ce11578d39635ef008e7cb2fOq,Y633,94,13.26
c02aef655be4fb390a9dd9ca2443be6aUG,P949,94,12.89
03ad994b5118076cd8c9be5f720d9bf3zy,K115,93,19.91
2006631955b0aa1d8a3bc1edc55e0754sn,K115,93,4.96
357b6e22304e1fba993bb725e5c00276aY,O198,93,7.92
bfbc45b05c5a4425210cd2cb3d84ae09GC,K115,93,2.77
f1700927fd979f5ae074de8f9352d96fWy,S959,92,17.16
3091525444b8b4d7fbc725e42b1b44a2YQ,N806,91,15.27
8d32b4d89b3145829cd3e57304c480cdQR,V449,91,26.84
9e7afc7cdb61931eb7d2cc8398b80ecfSQ,F047,91,4.47
9f886439f15f3c3c2b24840763edfcdbrG,R892,91,14.15
b7b03ffc6f8bd9f3c81fcca8bf3d3edbkH,Y232,91,18.06
c02aef655be4fb390a9dd9ca2443be6aUG,S542,91,12.48
143594a38184724594778ca447bc06fcwe,B170,90,9.8
143594a38184724594778ca447bc06fcwe,N806,90,9.8
84dbdf56ea2df1cb575a5e9ade6867f7QS,P949,90,20.5
8a6ed1d6ce11578d39635ef008e7cb2fOq,Y232,90,12.69
d4c894e72cbcba3ee54f16b94c185a4bJB,V449,90,8.89
65e915067ec7ca2082c1bfc73ffbc06bhv,V449,89,8.34
f1700927fd979f5ae074de8f9352d96fWy,P949,89,16.6
0267d6bf768486fee9e135bb99d78821Km,V449,88,19.38
1191e6eb34541653a48178c834cc65faIi,Y232,88,24.86
c02aef655be4fb390a9dd9ca2443be6aUG,O198,88,12.07
d4c894e72cbcba3ee54f16b94c185a4bJB,Y232,88,8.7
0cb8293fae46fb1f84b1f68d2371dc3bLQ,K115,87,14.7
0cf5da7bb05dfb15718653637b8df718vT,F379,87,8.95
1941210d4e0ded26c0b5874fbb577e2dUi,K115,87,15.99
9e7afc7cdb61931eb7d2cc8398b80ecfSQ,F379,87,4.27
2b11c52d795d03210ddb0613cbba3ab0HY,R892,86,20.28
5064c34286de0a0fa07ec216e1bbd200WV,V932,86,14.58
b9e80a7860853d05fb0bb708d22bb031hD,P949,86,29.86
dcbc4702b1a74e52cab4dc1e23971439LM,B170,86,14.03
33ed1e1a04b3fa96d01d39e545cc1f66wF,P949,85,12.37
76b78c5d7d8ff1f1be59bba95db2adbbBV,V932,85,16.28
8d32b4d89b3145829cd3e57304c480cdQR,N806,85,25.07
d0fe6ae336c11016ec02266f5384ca2fKS,O198,85,23.42
d4c894e72cbcba3ee54f16b94c185a4bJB,P949,85,8.4
d4c894e72cbcba3ee54f16b94c185a4bJB,R892,85,8.4
143594a38184724594778ca447bc06fcwe,V449,84,9.15
4e5532b57d7ed12506377d0521ce8c6aNA,V449,84,20.95
f1700927fd979f5ae074de8f9352d96fWy,N806,84,15.67
f60cb71f3c3244aa9bde85ea4652c48ddF,O198,84,17.68
2d6d2afd6028853b0a50f674cd887f55zs,F047,83,11.86
65e915067ec7ca2082c1bfc73ffbc06bhv,N806,83,7.78
65e915067ec7ca2082c1bfc73ffbc06bhv,Y633,83,7.78
b33302c688b04656f05d2a96c98e14c8cK,F047,83,9.9
bb9685f7011f9604acad8ae63c6da0ddHn,Y633,83,9.46
c9a30a5443d04270fb0f49d437c3376bAy,V932,83,3.15
1191e6eb34541653a48178c834cc65faIi,F047,82,23.16
1b7d252ac6eb39369d451499cf605e70dh,S959,82,23.7
8bc2601dfe86b831e3bb23ac598218cbIs,P949,82,15.36
cf8025d88a7ef18800686dbd36ecfae1dF,V932,82,7.95
02e9c21342c88515b4fa7e525d9ac652bO,O198,81,12.22
396db532782b68712e1b5d534ebb0e1bOA,V449,81,20.25
39a3d2b8857c48c2443faeacf50ae574Xo,Y232,81,5.15
60c6474b81b3f7d33f6da74e41ec9bbeeO,S542,81,16.95
76b78c5d7d8ff1f1be59bba95db2adbbBV,Y633,81,15.52
d26737bff980339cf372392e773fb063Es,V449,81,9
d4c894e72cbcba3ee54f16b94c185a4bJB,S542,81,8
4f7f001bdbae6c195a6d7ba55b98dca1pf,F047,80,11.24
8a6ed1d6ce11578d39635ef008e7cb2fOq,P949,80,11.28
8bc2601dfe86b831e3bb23ac598218cbIs,F047,80,14.98
cf8025d88a7ef18800686dbd36ecfae1dF,F047,80,7.75
4f7f001bdbae6c195a6d7ba55b98dca1pf,Y232,79,11.1
9f886439f15f3c3c2b24840763edfcdbrG,V449,79,12.29
1941210d4e0ded26c0b5874fbb577e2dUi,N806,78,14.34
49edbee9ee3c947a27db18b67ef2916afk,V449,78,24
4c85da138b57322843392ae14d195e6dKl,K115,78,22.03
534952ab1cf024773caddc874099da11qn,B170,78,6.03
84dbdf56ea2df1cb575a5e9ade6867f7QS,F047,78,17.77
9e7afc7cdb61931eb7d2cc8398b80ecfSQ,R892,78,3.83
b7b03ffc6f8bd9f3c81fcca8bf3d3edbkH,S542,78,15.48
f60cb71f3c3244aa9bde85ea4652c48ddF,S959,78,16.42
0f788cd8169f5149bc519e585cf7148bGu,Y232,77,13.12
1ffb0fe5bf8b13bb774a025726495066gx,S542,77,23.91
5f252d4c3196fb23e0dd5c2d55a5d71bju,Y633,77,16.18
9e7afc7cdb61931eb7d2cc8398b80ecfSQ,S959,77,3.78
b53f78c7e0a37a86c0eda9b0b5e22318lS,N806,77,23.99
bfbc45b05c5a4425210cd2cb3d84ae09GC,F379,77,2.29
ca4d5884938fb754bf2d1b45e26822d4jc,S542,77,17.07
cdd7c7185be165fb07d10c9f17abc2deBP,N806,77,21.63
cf8025d88a7ef18800686dbd36ecfae1dF,N806,77,7.46
0508d7be415a54eba97a968f8dacd55chL,Y633,76,18.77
60c6474b81b3f7d33f6da74e41ec9bbeeO,S959,76,15.9
c82f110050f63259dc05a34b7f3ffe5fFR,S542,76,10.11
d4c894e72cbcba3ee54f16b94c185a4bJB,B170,76,7.51
03ad994b5118076cd8c9be5f720d9bf3zy,P949,75,16.06
31e5c65f17292fdded6dd7f7d7622e5ddi,Y232,75,9.4
357b6e22304e1fba993bb725e5c00276aY,F379,75,6.39
534952ab1cf024773caddc874099da11qn,F047,75,5.8
6be068c4e74275ca8ed9975805e2f763Em,K115,75,3.69
7c75bf66bcff31d46dd27f9d49c45488lS,P949,75,13.56
d26737bff980339cf372392e773fb063Es,O198,75,8.33
361186625dbbc6254e43f4f1ce55dae2kL,O198,74,21.2
39a3d2b8857c48c2443faeacf50ae574Xo,Y633,74,4.71
534952ab1cf024773caddc874099da11qn,R892,74,5.72
65e915067ec7ca2082c1bfc73ffbc06bhv,R892,74,6.94
78758734641d5af094759e0193cc1b8bEU,F047,74,34.1
8bc2601dfe86b831e3bb23ac598218cbIs,O198,74,13.86
09b8073e6d0a727247e9bbcf43f8e75avx,R892,73,6.21
143594a38184724594778ca447bc06fcwe,O198,73,7.95
3091525444b8b4d7fbc725e42b1b44a2YQ,K115,73,12.25
6951495c1941499b294fcec5f33cd242wQ,K115,73,7.92
769db4ea593ce8f93a093a84ad1baec2OY,O198,73,6.78
c82f110050f63259dc05a34b7f3ffe5fFR,F379,73,9.71
1b630a56b891fb187d5a5b4d4b4c8ab0bV,K115,72,27.59
3e1f8a4ef4af0439a98a788685729e11IS,F047,72,17.65
4e5532b57d7ed12506377d0521ce8c6aNA,P949,72,17.96
63c630beb7b2f471af699f711207d28aVY,N806,72,6.65
74cbfa3620bb69031ebe4050585bd896uh,S959,72,10.98
c7f9349f001ec07fe76d0becea13a18azM,F047,72,6.54
c82f110050f63259dc05a34b7f3ffe5fFR,V932,72,9.57
cf8025d88a7ef18800686dbd36ecfae1dF,K115,72,6.98
0267d6bf768486fee9e135bb99d78821Km,V932,71,15.64
0f788cd8169f5149bc519e585cf7148bGu,Y633,71,12.1
357b6e22304e1fba993bb725e5c00276aY,F047,71,6.05
39a3d2b8857c48c2443faeacf50ae574Xo,O198,71,4.52
4d18579160a263df3f59863abef1c369iw,R892,71,13.45
8abe0e986378d00dd8f9c49debf1a83eNK,F047,71,24.48
cdd7c7185be165fb07d10c9f17abc2deBP,S959,71,19.94
d4c894e72cbcba3ee54f16b94c185a4bJB,F047,71,7.02
0267d6bf768486fee9e135bb99d78821Km,N806,70,15.42
09b8073e6d0a727247e9bbcf43f8e75avx,S959,70,5.95
1941210d4e0ded26c0b5874fbb577e2dUi,P949,70,12.87
8a6ed1d6ce11578d39635ef008e7cb2fOq,K115,70,9.87
c9a30a5443d04270fb0f49d437c3376bAy,S959,70,2.66
f1700927fd979f5ae074de8f9352d96fWy,V449,70,13.06
357b6e22304e1fba993bb725e5c00276aY,Y633,69,5.88
3896ac0c41340ac06686eb161a775aa6kx,Y232,69,10.21
422e306ecc84c742bd1aab21cd80edd2vv,Y633,69,14.5
d26737bff980339cf372392e773fb063Es,R892,69,7.67
534952ab1cf024773caddc874099da11qn,N806,68,5.26
c9a30a5443d04270fb0f49d437c3376bAy,O198,68,2.58
f60cb71f3c3244aa9bde85ea4652c48ddF,N806,68,14.32
f693da772b6ba497215104c0b3c3f571hM,K115,68,9.67
0f788cd8169f5149bc519e585cf7148bGu,S542,67,11.41
6be068c4e74275ca8ed9975805e2f763Em,F047,67,3.29
76b78c5d7d8ff1f1be59bba95db2adbbBV,B170,67,12.84
b33302c688b04656f05d2a96c98e14c8cK,R892,67,8
c426e6695f91852a0f232bec3bf2ec82GE,N806,67,23.59
4903ec45380747fb79467f74f6ddba01sx,V932,66,16.67
4f7f001bdbae6c195a6d7ba55b98dca1pf,K115,66,9.27
60c6474b81b3f7d33f6da74e41ec9bbeeO,Y232,66,13.81
6951495c1941499b294fcec5f33cd242wQ,F379,66,7.16
74cbfa3620bb69031ebe4050585bd896uh,Y633,66,10.06
76b78c5d7d8ff1f1be59bba95db2adbbBV,S542,66,12.64
a269f269c916a6c3b2c9bb439e7d5af1nF,O198,66,27.85
b7b03ffc6f8bd9f3c81fcca8bf3d3edbkH,S959,66,13.1
c7f9349f001ec07fe76d0becea13a18azM,K115,66,5.99
1278cafef388336b4cf84e239c16a24dkN,P949,65,22.34
3896ac0c41340ac06686eb161a775aa6kx,Y633,65,9.62
4903ec45380747fb79467f74f6ddba01sx,R892,65,16.41
769db4ea593ce8f93a093a84ad1baec2OY,V932,65,6.04
76b78c5d7d8ff1f1be59bba95db2adbbBV,R892,65,12.45
8c9c8016d13138e456a315a6068ff697lQ,P949,65,10.94
a8893224fdccd8ab322e266434d54471Lw,K115,65,17.47
bb9685f7011f9604acad8ae63c6da0ddHn,P949,65,7.41
c82f110050f63259dc05a34b7f3ffe5fFR,S959,65,8.64
df25af9b3490d9a57db263dfa308c5abDG,P949,65,10.3
39a3d2b8857c48c2443faeacf50ae574Xo,V449,64,4.07
63c630beb7b2f471af699f711207d28aVY,O198,64,5.91
6951495c1941499b294fcec5f33cd242wQ,P949,64,6.94
7c75bf66bcff31d46dd27f9d49c45488lS,F047,64,11.57
9e483e0aa193b102b1d1ebce0bd7d21eRK,P949,64,16.28
9f886439f15f3c3c2b24840763edfcdbrG,V932,64,9.95
c02e3f2283fc884b73951a20464246efcQ,F379,64,22.54
c6ae8905d3ef0c61f4a5b88238a32da0uC,N806,64,16.28
1941210d4e0ded26c0b5874fbb577e2dUi,B170,63,11.58
2006631955b0aa1d8a3bc1edc55e0754sn,R892,63,3.36
2b11c52d795d03210ddb0613cbba3ab0HY,V449,63,14.86
396db532782b68712e1b5d534ebb0e1bOA,V932,63,15.75
4c85da138b57322843392ae14d195e6dKl,N806,63,17.8
4ec8f9d51f30f104abab956fde878822iH,O198,63,14.13
65e915067ec7ca2082c1bfc73ffbc06bhv,B170,63,5.9
6bb61a23a3a8b8cb0a3da3a394102e2cnW,F047,63,34.62
947b91653b955d9d1f8435b7a0639806QW,S542,63,20.32
bd163eebddb3467a8607492b3aa21ebfTq,Y633,63,20.59
c7f9349f001ec07fe76d0becea13a18azM,O198,63,5.72
d4c894e72cbcba3ee54f16b94c185a4bJB,O198,63,6.23
31e5c65f17292fdded6dd7f7d7622e5ddi,P949,62,7.77
33ed1e1a04b3fa96d01d39e545cc1f66wF,K115,62,9.02
4501597aaa96415766a099d1b4c48fd1cL,P949,62,21.91
60c6474b81b3f7d33f6da74e41ec9bbeeO,F379,62,12.97
be633f18e00b5f1f678f07bec3234e36eZ,Y232,62,34.64
dface8469dd1315170c2980c12ee4b9dzl,N806,62,10.95
dface8469dd1315170c2980c12ee4b9dzl,P949,62,10.95
dface8469dd1315170c2980c12ee4b9dzl,R892,62,10.95
0267d6bf768486fee9e135bb99d78821Km,S542,61,13.44
02e22012bd6fdd7415a80c2da954d8f0hL,Y232,61,7.68
02e9c21342c88515b4fa7e525d9ac652bO,F379,61,9.2
3091525444b8b4d7fbc725e42b1b44a2YQ,Y232,61,10.23
5f252d4c3196fb23e0dd5c2d55a5d71bju,Y232,61,12.82
65e915067ec7ca2082c1bfc73ffbc06bhv,S542,61,5.72
66a5d5d72c3bbe4a43df3d107aeb6199Oj,N806,61,16.09
70cb83731f386d9b873391b78461bc9emp,F047,61,16.49
ab15415f67808a17b97f8ce7c09c046fQB,K115,61,17.58
c6c55f18b7b1c2f83cb35f18fad3f7ceXE,Y232,61,17.58
e5ebf2752a03d6729cb633770e4eddd7Hd,S959,61,3.54
edb8f555c04b654d9b005d76b63ffc76rZ,Y633,61,46.92
02e22012bd6fdd7415a80c2da954d8f0hL,F047,60,7.56
31e5c65f17292fdded6dd7f7d7622e5ddi,Y633,60,7.52
4e5532b57d7ed12506377d0521ce8c6aNA,N806,60,14.96
534952ab1cf024773caddc874099da11qn,O198,60,4.64
5f252d4c3196fb23e0dd5c2d55a5d71bju,K115,60,12.61
70cb83731f386d9b873391b78461bc9emp,R892,60,16.22
769db4ea593ce8f93a093a84ad1baec2OY,F379,60,5.58
bfbc45b05c5a4425210cd2cb3d84ae09GC,F047,60,1.79
cf8025d88a7ef18800686dbd36ecfae1dF,R892,60,5.81
d36a17b71e0b1d407c632cfd9bbd0fefjh,F379,60,16.57
dface8469dd1315170c2980c12ee4b9dzl,B170,60,10.6
39a3d2b8857c48c2443faeacf50ae574Xo,F379,59,3.75
57096dcfbdfaff0e9efcb73c1b92c954fF,Y633,59,17.99
5f252d4c3196fb23e0dd5c2d55a5d71bju,S959,59,12.39
6be068c4e74275ca8ed9975805e2f763Em,V449,59,2.9
947b91653b955d9d1f8435b7a0639806QW,R892,59,19.03
bb5bbd4fe2f47c6e4810df40a178deb7cV,Y232,59,10.97
bb9685f7011f9604acad8ae63c6da0ddHn,F379,59,6.73
bb9685f7011f9604acad8ae63c6da0ddHn,S542,59,6.73
e5ebf2752a03d6729cb633770e4eddd7Hd,F379,59,3.42
0508d7be415a54eba97a968f8dacd55chL,V449,58,14.32
143594a38184724594778ca447bc06fcwe,R892,58,6.32
1941210d4e0ded26c0b5874fbb577e2dUi,F047,58,10.66
361186625dbbc6254e43f4f1ce55dae2kL,S542,58,16.62
396db532782b68712e1b5d534ebb0e1bOA,S959,58,14.5
4501597aaa96415766a099d1b4c48fd1cL,Y232,58,20.49
50aad6fb1fe707fbbab38ee4dcb82aeafD,S542,58,23.58
66a5d5d72c3bbe4a43df3d107aeb6199Oj,P949,58,15.3
6951495c1941499b294fcec5f33cd242wQ,F047,58,6.29
958c83761a381a5c4d1048a7619972b4mt,N806,58,12.95
bacd30a8f578d3c3f4e75bd227af5fa5qw,R892,58,13.43
c8f9d1b31ad0c5323df75bc3c169a951OS,F047,58,38.16
03ad994b5118076cd8c9be5f720d9bf3zy,B170,57,12.21
2b11c52d795d03210ddb0613cbba3ab0HY,V932,57,13.44
4f7f001bdbae6c195a6d7ba55b98dca1pf,S542,57,8.01
8bc2601dfe86b831e3bb23ac598218cbIs,R892,57,10.67
9f886439f15f3c3c2b24840763edfcdbrG,N806,57,8.86
cb8ce29b7a27768b50e1e7798ff44a1eph,Y232,57,20.14
ce51c5133a435e38c46ac90111f896aesp,F047,57,28.93
dface8469dd1315170c2980c12ee4b9dzl,F379,57,10.07
1ffb0fe5bf8b13bb774a025726495066gx,V932,56,17.39
31e5c65f17292fdded6dd7f7d7622e5ddi,S542,56,7.02
39a3d2b8857c48c2443faeacf50ae574Xo,R892,56,3.56
60c6474b81b3f7d33f6da74e41ec9bbeeO,O198,56,11.72
6951495c1941499b294fcec5f33cd242wQ,S959,56,6.07
6951495c1941499b294fcec5f33cd242wQ,Y633,56,6.07
7c75bf66bcff31d46dd27f9d49c45488lS,Y633,56,10.13
050716a1e3496566de850636d9e7eb8dUa,O198,55,13.45
3b3a3a0a692d7e19f03e60e4568afb4cCc,N806,55,15.62
487e36748734bdd5f6385b9588c3a46bmZ,N806,55,9.11
487e36748734bdd5f6385b9588c3a46bmZ,O198,55,9.11
4ec8f9d51f30f104abab956fde878822iH,R892,55,12.33
6951495c1941499b294fcec5f33cd242wQ,R892,55,5.97
7c75bf66bcff31d46dd27f9d49c45488lS,Y232,55,9.95
b53f78c7e0a37a86c0eda9b0b5e22318lS,S959,55,17.13
b9e80a7860853d05fb0bb708d22bb031hD,K115,55,19.1
d4c894e72cbcba3ee54f16b94c185a4bJB,V932,55,5.43
da7d1b1ce8fde63a5808c65adc6968c9RH,S959,55,12.28
143594a38184724594778ca447bc06fcwe,F379,54,5.88
31e5c65f17292fdded6dd7f7d7622e5ddi,F047,54,6.77
31e5c65f17292fdded6dd7f7d7622e5ddi,O198,54,6.77
361186625dbbc6254e43f4f1ce55dae2kL,F379,54,15.47
84dbdf56ea2df1cb575a5e9ade6867f7QS,O198,54,12.3
bb9685f7011f9604acad8ae63c6da0ddHn,N806,54,6.16
c02e3f2283fc884b73951a20464246efcQ,O198,54,19.01
c6ae8905d3ef0c61f4a5b88238a32da0uC,S542,54,13.74
