job_title,demand,median_salary,city_coverage,industry_coverage
0f788cd8169f5149bc519e585cf7148bGu,587,14500.0,18,72
cdb6e01527a77d5a9878138b46dedd99uS,580,6000.0,150,17
dface8469dd1315170c2980c12ee4b9dzl,566,5500.0,80,53
3fd63552b78084a7fa0cdaeb040ea59fdD,562,7500.0,138,86
eb8a50987da12c63d9024b6ef24caa5aYA,559,5000.0,231,65
7c75bf66bcff31d46dd27f9d49c45488lS,553,5500.0,100,94
1941210d4e0ded26c0b5874fbb577e2dUi,544,8500.0,30,46
9e6d9d6e2a2fc710d3350bd82beb939aSo,541,7500.0,115,97
bb5bbd4fe2f47c6e4810df40a178deb7cV,538,10500.0,110,29
f1700927fd979f5ae074de8f9352d96fWy,536,5000.0,68,15
8bc2601dfe86b831e3bb23ac598218cbIs,534,6500.0,40,57
4d18579160a263df3f59863abef1c369iw,528,10500.0,64,62
76b78c5d7d8ff1f1be59bba95db2adbbBV,522,5500.0,35,24
b7b03ffc6f8bd9f3c81fcca8bf3d3edbkH,504,9000.0,34,33
3f8a23f817ba0bc38f071c1f282e0804Mo,498,4500.0,198,89
60c6474b81b3f7d33f6da74e41ec9bbeeO,478,5100.0,54,67
5f252d4c3196fb23e0dd5c2d55a5d71bju,476,6500.0,68,83
422e306ecc84c742bd1aab21cd80edd2vv,476,4000.0,30,15
f60cb71f3c3244aa9bde85ea4652c48ddF,475,6500.0,75,65
efaa2b8bd2a6b5ba1400b8f9d5a4c302ub,472,6500.0,216,22
03ad994b5118076cd8c9be5f720d9bf3zy,467,6500.0,31,59
74d485f8d9a8f589c5e5b3d3ddaf18e6Qn,458,5500.0,107,58
0267d6bf768486fee9e135bb99d78821Km,454,12500.0,48,85
ca4d5884938fb754bf2d1b45e26822d4jc,451,10000.0,53,20
958c83761a381a5c4d1048a7619972b4mt,448,5500.0,110,85
da7d1b1ce8fde63a5808c65adc6968c9RH,448,10500.0,13,31
4ec8f9d51f30f104abab956fde878822iH,446,5500.0,58,20
84dbdf56ea2df1cb575a5e9ade6867f7QS,439,12500.0,17,57
bacd30a8f578d3c3f4e75bd227af5fa5qw,432,12500.0,38,64
4e8253d6c20af58d080dfe5c4efd64b2Bd,429,4000.0,171,33
819db18c2d19dcd1194f3732c875ad7eBJ,428,3500.0,230,79
2b11c52d795d03210ddb0613cbba3ab0HY,424,7500.0,28,51
d67c554e181aa01e59f1d018ad28940czB,416,8500.0,42,65
782d6b5fe8ab65d78b209fbc82b45e28AM,415,3500.0,236,51
050716a1e3496566de850636d9e7eb8dUa,409,3000.0,172,73
e57826db7a1aec9699875434de36323bCX,409,6500.0,202,12
3e1f8a4ef4af0439a98a788685729e11IS,408,8500.0,36,21
0508d7be415a54eba97a968f8dacd55chL,405,8000.0,90,59
4e2dacaa2a36579b658329c72d89dc10yI,403,5500.0,197,90
4e5532b57d7ed12506377d0521ce8c6aNA,401,4500.0,60,11
396db532782b68712e1b5d534ebb0e1bOA,400,7500.0,44,58
d6d105d96fe6a1a994a68b78aafd2b84Ie,400,7500.0,181,28
d2338165334f08c3bd95df9e411f80d0rY,399,7500.0,69,72
4903ec45380747fb79467f74f6ddba01sx,396,5500.0,36,68
05d9a76c5a623f203c71cc1de9c33348Dn,396,8500.0,164,22
9e483e0aa193b102b1d1ebce0bd7d21eRK,393,7500.0,44,13
c6ae8905d3ef0c61f4a5b88238a32da0uC,393,6750.0,40,26
dd16ebae4e718c8715a7f8ac7383c1cfxI,384,5500.0,89,93
0dd3de59b2a79f5f8f4794c2e489125ajh,379,10500.0,65,70
66a5d5d72c3bbe4a43df3d107aeb6199Oj,379,8500.0,34,58
b8b7b6ad09f0cf3673ac1d8fab31ad52Xi,375,6000.0,49,19
a8893224fdccd8ab322e266434d54471Lw,372,5500.0,85,98
cac62dc89c1191d1b7aa1b0a32463a49dF,370,8000.0,155,28
70cb83731f386d9b873391b78461bc9emp,370,6500.0,36,17
ac32ef70cc3081d78fb7a7ff9ef99e38tY,370,8500.0,24,47
8487749a1fbde1b589d9f3ad3de7512cHC,366,7500.0,130,74
3aa4f12a0d18e419f0d2a98cdf3b4209mD,364,7500.0,107,69
d0fe6ae336c11016ec02266f5384ca2fKS,363,4500.0,14,12
d36a17b71e0b1d407c632cfd9bbd0fefjh,362,5000.0,18,67
cdd7c7185be165fb07d10c9f17abc2deBP,356,3500.0,67,11
e4b66c8e5feb0fd81e843e465815ddddGb,356,5500.0,95,21
4c85da138b57322843392ae14d195e6dKl,354,10500.0,17,72
1191e6eb34541653a48178c834cc65faIi,354,8000.0,20,69
3b3a3a0a692d7e19f03e60e4568afb4cCc,352,6500.0,50,24
390223cbe8b4601f8616dac66c69b36cJi,349,6500.0,47,68
361186625dbbc6254e43f4f1ce55dae2kL,349,6750.0,20,66
952e95cafbb8ae027705e829607b4c3asE,348,7500.0,30,25
ab15415f67808a17b97f8ce7c09c046fQB,347,7500.0,15,36
c6c55f18b7b1c2f83cb35f18fad3f7ceXE,347,6000.0,49,81
1b7d252ac6eb39369d451499cf605e70dh,346,6000.0,98,34
ae2fb1e9330fd3a5c837a56ccc50294bme,346,12500.0,36,59
bd738adc6e5f460099158081cf6d6738jm,344,10250.0,86,77
8d32b4d89b3145829cd3e57304c480cdQR,339,4500.0,52,19
fbb6de5bc974d4ca77f40f5e3c5023a5TK,328,7500.0,145,74
57096dcfbdfaff0e9efcb73c1b92c954fF,328,6000.0,22,16
49edbee9ee3c947a27db18b67ef2916afk,325,5000.0,56,48
81d0e0a18c0b64c154f740d18febd1e8Az,325,6500.0,191,56
a7ce93b63f12684e9022b4e772da1f90QN,324,7500.0,56,21
1ffb0fe5bf8b13bb774a025726495066gx,322,9000.0,31,72
b53f78c7e0a37a86c0eda9b0b5e22318lS,321,8250.0,19,65
9dea1b4383b606a3dda35b4124fb0928Ds,312,9500.0,117,69
947b91653b955d9d1f8435b7a0639806QW,310,6500.0,45,38
8e98a0b91e08963f64e76137c3190418up,307,7500.0,146,13
c47dbf19bd77fdc04d26486bd2257e7erh,307,8000.0,83,17
07be0b2bf62207bd9e861534e5e53168sg,306,7000.0,15,55
bd163eebddb3467a8607492b3aa21ebfTq,306,4500.0,14,14
f0618fc1e2b0da19ea756efb0606d96fbj,305,10000.0,83,80
5a5134580257a0e8ed6aeb3409ea7bceoV,302,7500.0,22,36
631a9ba8a33a19b1a2f6905c7714db75Jb,299,8000.0,16,28
d4e8ee4d6efc1848022b35c7a9eed5d8gp,295,10000.0,17,61
1278cafef388336b4cf84e239c16a24dkN,291,9500.0,15,55
6831ebb08ba49bf74ce9984483b2aed7DN,290,4500.0,52,10
8abe0e986378d00dd8f9c49debf1a83eNK,290,10500.0,45,23
b9e80a7860853d05fb0bb708d22bb031hD,288,9500.0,20,56
244cd198e7293fbabd28fad9934dcf89eh,288,5500.0,89,8
c426e6695f91852a0f232bec3bf2ec82GE,285,9500.0,37,61
c02e3f2283fc884b73951a20464246efcQ,284,4500.0,24,13
cb8ce29b7a27768b50e1e7798ff44a1eph,283,3500.0,18,32
4501597aaa96415766a099d1b4c48fd1cL,283,8500.0,19,62
29707ef5d18063fe0136dcd9459a326bmL,282,8500.0,27,59
8732fb0b6fb60674681c48be91e88053LD,277,4000.0,127,14
9dc4a301685e755ca1a7c648a2043ec9Ja,276,7500.0,20,48
19b59537f19a7171e6434596b4cd9517sv,276,6500.0,195,51
053ce9df9f578afea728a9aa98ba492cgk,273,5500.0,26,35
9bd8a3072d083bf92e47dfcca71a1b9doM,272,7500.0,14,57
02cea68bba1a43edc830836016f99d3chE,267,10500.0,71,12
cdd05a502748a3d3dc5d7d2faea0ed9bWE,264,7000.0,34,20
2b9f71dbd9a6431079fcf2eeb14115e4vK,262,5000.0,48,53
9e12f240e482ebf51951cc5a53f7319csS,262,10000.0,39,21
29394a50387ed592c62e7747bdd26c5afB,262,7500.0,139,69
c31759a7c06bf3c3b95ee6a39780c633Dv,261,8000.0,115,20
df6a0f0af90824594c229d656c269789Li,261,5000.0,173,59
1b630a56b891fb187d5a5b4d4b4c8ab0bV,261,6500.0,21,51
32aaf57ac44954454d2ea8bd80dee594gn,260,15500.0,19,71
ceda7a83f9b76c207cbf335be36cc45efN,260,5000.0,120,72
d00053d7c20d37caab1b1c51080fe900Vc,260,6500.0,27,34
1d46faea2fafa0fd9882b1024074a3a9pl,257,5500.0,26,67
f032dd16d84e869435ab43c30cabe5faau,256,7500.0,155,9
f2e6829d748c302d87e88ace1380377asz,253,7500.0,42,14
ac93b858b8fefad947bfa03f98cebd6ayL,253,6000.0,124,61
b0b74961ee75328fd017af87025f6affBJ,250,3500.0,172,64
3af7feeff046a1e12fba650d42d5cb70cD,247,8500.0,74,63
50aad6fb1fe707fbbab38ee4dcb82aeafD,246,8000.0,24,66
fb3b8b460680c72df323f38e3c0360d0bL,244,10000.0,21,44
8b60765122cc0bf734f7170aebc0d565Wj,242,5500.0,148,68
1cc40b930be4012a7ac69232e305b1b6OV,242,5000.0,50,77
621cee7b2edf5d49210bae18c12b5003zB,241,9000.0,22,17
a269f269c916a6c3b2c9bb439e7d5af1nF,237,7500.0,50,13
517f6dc84533b2a2300e9d75a49244f1JW,236,4500.0,28,51
b57abdc3a1618084f788b74a442c7169oY,234,3500.0,153,12
a6aba4190760679e77bcc60918254a19cH,234,12500.0,81,5
08547ebad692c1f0286fb42e8d1a68cfEd,233,6500.0,156,46
b2ee12a411cbfab4f81ce05ff67464dbOY,231,9000.0,12,45
a132e9ec0df354335551ac32de71bf54VC,230,5500.0,21,16
da5b59bd382fef28c074fa775fcde84dKZ,228,8000.0,54,23
3507256fe513473bfb5b752ec32967dbXz,227,4000.0,107,10
7686fbb0058706785d7ba01041ef622foZ,226,3500.0,160,34
d456b739849fa6312b6abe236d47ff51NL,224,7000.0,23,68
5ffeb97e689cdf3fb3c9be1bb3336d07ks,223,5500.0,30,56
facd880e03bb80c788839661a808af12iL,221,6500.0,26,52
1107303ead66d03430a510dee038c7b1uo,221,6000.0,33,9
463d5cdb184217b395246e2d9e87a32fNa,220,12500.0,30,33
d8dc7860ea68b662e17382cc11b53228LI,220,10000.0,34,37
fdbace77ac2748b7d560af868158495dkY,219,5500.0,100,10
88a37fda2536f39ddf6d5abd30cfebb9CH,219,9000.0,46,69
f444784e0f6e0fde86290b612df012c2wL,217,5500.0,28,40
78758734641d5af094759e0193cc1b8bEU,217,12500.0,15,53
596fb26f5116f2c30c4ecb08d24300bauc,216,6000.0,77,58
17e23a28b86129f32adfd7d086182761as,215,7500.0,45,15
dce82fb9fd74206ef3fc78e452dc60e8Nl,214,6500.0,88,71
a6f94a2b4a3174b4b84b9f8e0339b755nV,212,5500.0,60,31
d262f4532834aa4c1de1b8ad05868d27tS,212,12500.0,15,12
d62dd7c9543448e50c4f8ad4ff187c60iq,207,7000.0,80,64
