城市编码,招聘规模,平均薪资,中位薪资,职位数,行业数,企业数,薪资标准差
H442,297,5673.208191126279,5000.0,267,66,296,2993.7990618854797
G380,297,5769.579931972789,4750.0,265,64,295,4569.103496195664
I784,297,6578.4982935153585,5500.0,270,68,297,5172.766720563938
A717,297,5847.269624573379,5000.0,267,69,293,2812.324768178661
Y034,297,6012.925170068027,5500.0,252,69,297,2821.402166566769
I282,297,5838.60544217687,5500.0,259,62,294,2598.138167872515
Z789,297,5628.839590443686,5500.0,253,72,297,2940.0102538382075
V042,296,5252.559726962458,4500.0,242,68,294,4642.275429687995
U192,296,6621.156357388316,5500.0,271,66,295,3706.334974317267
S124,296,5160.169491525424,4500.0,246,58,295,3303.391625235845
Y359,296,5599.315068493151,5000.0,269,72,296,3267.824429984223
E057,296,5782.302405498282,5500.0,271,67,294,3186.0316671523606
Y434,296,5687.201365187713,5000.0,268,69,295,2628.8080696101506
B873,296,5623.737113402062,4000.0,258,67,295,7741.651140854046
A845,296,5642.982456140351,4500.0,255,66,289,3507.1536374979446
D051,296,5878.424657534247,5500.0,274,70,284,3042.0501290135167
O344,296,6748.263888888889,5500.0,266,70,295,8211.383942047092
Y495,296,6355.308219178082,5500.0,280,77,295,3826.880541812977
G575,296,4893.103448275862,4125.0,254,67,296,3008.1700784854797
P851,296,6255.13698630137,5500.0,260,64,293,3888.807754873741
Y531,296,6021.061643835616,5500.0,254,68,296,3079.135512013335
D881,296,5280.821917808219,4500.0,259,63,296,4130.796501221133
Y532,296,5807.186006825938,5500.0,280,63,292,2318.5272989555565
O576,296,5955.631399317406,5500.0,260,67,283,3090.48651143584
S500,296,8104.870689655172,7000.0,280,79,296,4804.183117554182
O641,296,6570.648464163823,5500.0,265,66,292,3581.7041635289256
D821,296,6808.439862542956,6000.0,274,76,295,3725.8649575254126
C144,296,5792.006802721088,5250.0,251,60,296,3722.7525304113274
I730,296,8092.2945205479455,6500.0,274,71,296,8422.277602239164
S764,296,5071.551724137931,4500.0,272,62,295,3428.2450854376584
P623,296,5864.675862068965,5250.0,263,72,296,3990.7678387766377
E416,296,6467.041666666667,5500.0,254,68,296,4214.194622797496
V404,296,5831.4625850340135,5500.0,263,76,295,2921.169333803218
P548,296,6032.534246575343,5500.0,265,69,294,3697.8055741365365
Z731,296,5924.319727891157,5000.0,274,63,294,4531.508429681934
W657,296,6029.209621993127,5500.0,266,72,294,4601.349771314508
L086,296,5983.676975945017,5500.0,272,64,284,2605.355866642285
F958,296,5706.18556701031,5000.0,269,69,294,3081.4399153079466
L161,296,5986.39455782313,5500.0,262,76,296,2836.226870484386
K294,296,6187.062937062937,5500.0,259,62,294,3668.6161322560833
F554,296,6618.006993006993,5500.0,264,63,296,5483.413511060812
F469,296,5784.745762711865,5500.0,263,61,296,3834.404474392183
W396,296,6207.731958762886,5500.0,272,72,291,4668.162565164447
W055,296,5702.568493150685,4500.0,271,66,295,4559.987932412342
L802,296,5690.924657534247,4500.0,247,63,296,4869.135718710761
B729,296,6070.446735395189,5500.0,249,64,296,3066.9572936574486
B474,296,5615.582191780822,5000.0,261,70,291,2433.681612104917
R775,296,4931.660899653979,4500.0,254,64,294,2362.0537517758466
M060,296,6012.798634812287,5500.0,278,73,296,3848.7075330643947
Q821,296,5278.253424657534,4500.0,261,69,289,3442.1854368414483
C815,296,5651.0238907849825,5000.0,265,64,296,2947.0961403364804
B455,296,5147.766323024055,4000.0,248,59,280,4104.9889949493245
M247,296,6480.103806228373,5500.0,276,66,295,6348.070326027182
B574,296,6024.931271477663,5500.0,266,64,296,3831.5035531784024
R251,296,5413.9655172413795,5000.0,276,70,295,3058.204654392734
R635,296,5633.620689655172,5500.0,251,68,294,2572.9056039095726
B674,296,6613.40206185567,5500.0,256,65,296,8665.181561254964
M907,296,5434.075342465753,5000.0,252,62,296,2820.545297344599
R988,296,6002.5731292517,5500.0,249,56,296,3854.646854684188
K909,296,6442.320819112628,5500.0,265,73,292,3457.7366210511505
I345,295,5472.881355932203,5000.0,265,71,288,2472.4901730732395
S655,295,6607.266435986159,5500.0,280,71,295,4542.880090379996
R105,295,5420.415224913495,4500.0,272,64,295,2728.7973987924224
S546,295,5074.742268041237,4500.0,262,62,283,2866.38475632219
C354,295,5132.646048109966,4500.0,238,66,294,3228.8862511029897
S732,295,7662.355902777777,6500.0,274,77,294,4185.422917187004
G691,295,5149.828767123287,4500.0,261,71,294,2808.9250805309107
I426,295,5666.666666666667,5500.0,271,66,294,2652.618513191412
B470,295,7294.117647058823,6500.0,282,79,292,3865.7483643748296
W805,295,6295.172413793103,5500.0,259,73,294,3094.563958740892
K845,295,6362.80276816609,5500.0,276,68,295,4494.260471608092
E956,295,6076.724137931034,5500.0,264,71,295,3686.0371477282542
L977,295,5292.808219178082,4500.0,246,65,292,3860.859588271061
X673,295,6604.45205479452,5500.0,274,66,295,5445.627588825858
V883,295,5901.551724137931,5500.0,267,67,293,2645.6478603777928
V625,295,5756.0553633218,5500.0,255,61,295,2798.841466121262
J532,295,5548.634812286689,5000.0,240,60,291,2498.1976063884094
N737,295,5985.294117647059,5500.0,270,65,292,2986.805474824974
T818,295,6046.735294117647,5500.0,263,65,295,3505.472315220558
O621,295,6137.45704467354,5500.0,268,75,293,3767.603152015816
O776,295,6256.206896551724,5500.0,266,76,294,4091.9592973662093
Y770,295,5983.732876712329,5500.0,246,68,295,3262.2938144557684
G904,295,6231.22866894198,5500.0,233,61,294,5551.5630150310135
P353,295,5667.255972696245,5000.0,255,63,295,3246.8306410484124
I485,295,6161.0389830508475,5500.0,274,67,294,5030.864481169902
R494,295,5817.927835051546,5500.0,272,59,295,2832.477628413668
Z450,294,6255.208333333333,5500.0,268,67,294,3842.9500987747
S750,294,5588.9655172413795,5000.0,253,69,294,3109.5175304479676
Z581,294,5973.867595818815,5500.0,271,76,293,4055.150401601725
B383,294,6508.4192439862545,5500.0,253,60,293,3358.767155213166
R761,294,5401.541095890411,4500.0,248,67,294,2966.0054515309835
W029,294,5268.77133105802,4500.0,249,67,291,2571.0930979020172
Q828,294,5978.3737024221455,5000.0,265,67,294,3708.416354707436
O525,294,8622.942307692309,7000.0,280,76,294,6370.065492047606
D767,294,5868.556701030928,5500.0,266,68,293,2624.181181858865
G065,294,5444.636678200692,5000.0,268,67,293,2501.4677544527144
I219,294,5831.896551724138,5000.0,254,59,294,3751.524468401118
I705,294,5702.21843003413,5000.0,257,52,293,3058.5502531027773
J722,294,5020.104895104895,4500.0,271,62,288,4228.120936731243
J232,294,5609.861591695501,5500.0,267,67,293,2882.4326594618274
Q598,294,6158.703071672355,5500.0,248,70,293,3535.713248445108
H696,294,5731.335616438356,5500.0,261,63,292,2677.0539399921436
N273,294,6639.6551724137935,5500.0,240,69,294,5086.311763422582
N914,294,5632.302405498282,4500.0,255,65,292,4460.85709925343
E072,294,5865.451388888889,5500.0,262,68,287,2727.36087757263
G022,294,5641.868512110726,5000.0,252,63,292,3158.8078969562434
B623,293,6302.264808362369,5000.0,248,69,278,6217.106737171206
S808,293,5758.304498269897,5000.0,269,70,293,2844.548922698558
S668,293,5916.077738515901,4500.0,254,66,290,4451.897892472278
J565,293,5467.770034843205,5000.0,250,65,293,2719.2427298522275
J674,293,6236.013986013986,5500.0,258,60,293,3784.4645758838187
T739,293,5503.448275862069,4500.0,262,50,290,2911.0198403920554
U072,293,6724.5,5500.0,259,65,285,7934.696234359592
B055,293,5843.205574912892,5500.0,248,65,293,3511.130777785139
K389,293,5912.6297577854675,5500.0,273,65,279,2799.1078696464983
G378,293,6337.931034482759,5500.0,253,63,292,8080.987717264317
J037,293,6418.991379310345,5500.0,252,64,289,4573.789272446748
J130,293,5779.23875432526,5500.0,269,67,293,2917.756006409263
S198,293,6554.310344827586,5500.0,265,69,292,3728.5520961631537
L015,293,6278.697183098591,5500.0,227,63,292,4533.371984246814
M697,293,5703.2871972318335,5500.0,272,74,293,2614.8078437224526
Q985,293,6189.49298245614,5500.0,279,65,293,3488.7648481150927
H574,293,5650.696864111498,5000.0,258,68,293,2807.205302535697
Z463,292,4715.41095890411,4500.0,264,65,292,2107.086432160358
U561,292,5718.9655172413795,5000.0,256,67,290,3668.9785731771613
B736,292,5664.3835616438355,5000.0,265,69,285,3432.765903652928
G328,292,5330.172413793103,4500.0,265,68,292,3075.7160762878184
H913,292,5980.836236933798,5500.0,266,66,292,2860.170540726363
V754,292,5557.093425605536,4500.0,245,66,283,3106.155938927696
J470,292,6012.673611111111,5500.0,252,68,275,5662.110834191965
B608,292,6555.172413793103,5500.0,259,67,292,3790.6355390936524
X798,292,6469.640625,5500.0,244,74,291,3250.0134521590744
A685,292,5821.6783216783215,5000.0,257,63,292,2991.966198799122
N780,292,5306.794425087108,4500.0,248,63,291,2601.3002738887803
M101,292,5644.5993031358885,4500.0,254,59,291,3998.3602971910077
K628,292,6134.1463414634145,5500.0,256,55,291,4480.175979097709
Q531,291,6463.1578947368425,5500.0,269,66,290,2837.9738593563393
O323,291,5592.198581560284,5000.0,257,67,289,2953.135035337442
C675,291,5714.80985915493,4500.0,266,69,291,6411.900746762503
S413,291,5610.0352112676055,5000.0,250,71,281,2990.635501940945
L623,291,5654.7535211267605,5000.0,252,64,291,3268.032919303037
C326,291,6000.0,5500.0,267,64,291,3678.514446276994
Y784,291,5368.512110726643,4500.0,249,60,291,3739.6284631481185
R083,291,5464.285714285715,4500.0,245,62,291,3577.9024740602013
R230,291,5931.423611111111,5500.0,271,68,290,3266.9862276364147
W665,291,6406.574394463668,6000.0,238,56,288,3156.4954572600273
E174,290,6158.216783216783,5500.0,250,69,277,5113.759625826665
W405,290,6132.3754325259515,5500.0,254,63,290,3611.52684004612
D460,290,6970.383275261324,5500.0,238,55,289,6341.945571258888
Z347,290,6573.784722222223,5500.0,246,64,290,3538.1172647720387
A295,290,5428.9473684210525,4500.0,256,68,289,3683.5061012470696
D832,290,5630.80985915493,5000.0,270,75,290,2996.58988383739
A497,290,5419.512195121952,4500.0,248,64,290,3570.873691696971
B733,289,6907.517482517483,6000.0,271,70,289,3354.2988063303833
R646,289,5312.43006993007,4500.0,252,66,282,3609.663120842418
B369,289,6300.531914893617,5500.0,244,65,284,4331.397586707777
U555,289,5558.566433566433,5000.0,237,64,287,2623.6652494525915
U827,288,6943.356643356643,5500.0,262,71,258,6119.245561118746
P512,288,6784.210526315789,6000.0,251,59,288,5717.676737930036
Y788,287,5857.394366197183,5500.0,231,66,287,3644.287107565892
M585,287,6620.106761565837,5500.0,253,70,272,4281.608883517784
S335,287,6272.887323943662,4500.0,252,63,276,5152.523904647699
D899,287,5914.310954063604,5500.0,261,71,284,2819.470387265455
B937,287,6111.538461538462,5250.0,235,66,287,3252.3281394388387
O145,287,5537.102473498233,5000.0,237,67,285,2591.1472472319724
A149,287,6237.6760563380285,5000.0,258,60,280,7005.685945687355
K641,286,6184.163701067616,5500.0,235,58,285,3125.946730003654
R387,286,6227.915194346289,5000.0,247,65,268,6406.598291335376
S759,286,12739.32384341637,10500.0,265,61,201,7722.177702549384
C023,286,5792.105263157895,5000.0,248,65,284,4432.09514600565
Z251,285,6486.702127659574,5500.0,237,61,279,3415.8738886867322
U183,284,5346.2962962962965,4500.0,262,62,284,2686.7922142563357
O309,283,5322.841726618705,4500.0,246,60,282,2379.2783657332116
L961,283,5155.454545454545,4000.0,258,64,282,3568.115502830518
X246,283,7558.035714285715,6500.0,246,54,263,3576.916945838916
Q027,283,5493.7943262411345,4500.0,245,64,257,3476.5619086791357
F106,282,6583.63309352518,5500.0,237,62,261,3926.0391622961183
P711,282,6887.096774193548,6000.0,237,63,280,3569.8041924754702
C180,281,5647.482014388489,5000.0,256,58,279,2731.9828145420925
N629,280,5603.636363636364,4500.0,247,69,275,3508.486251889091
S650,280,6233.516483516483,5000.0,244,67,279,4857.9739725829595
M738,279,5926.470588235294,4500.0,237,62,260,5188.345373882596
W147,278,5984.375,5500.0,250,59,219,3728.627208845921
R246,278,7418.795620437956,6500.0,237,58,261,3377.9101969613303
P559,277,7851.3175182481755,7000.0,236,52,248,4386.471645815742
A195,275,6692.066420664207,5500.0,255,55,194,7068.724921114613
V996,274,5966.29213483146,5500.0,229,57,184,3301.3990137774917
C324,273,7458.801498127341,6000.0,235,62,213,5133.571803379094
A181,271,9042.50936329588,8000.0,227,57,263,6169.8408537519235
S297,270,6022.574626865671,5250.0,231,58,173,2968.5151356384963
O354,270,5479.553903345725,4500.0,243,48,177,2556.5525604385834
S303,270,6057.330827067669,5250.0,226,61,218,4717.265839400447
F446,263,5913.127413127413,4500.0,242,53,174,5941.835440201256
H800,255,7107.142857142857,5750.0,209,48,173,4136.4222000372165
X058,235,9461.239224137931,8250.0,201,38,126,6779.140721185266
V403,225,5813.636363636364,4500.0,203,46,116,3488.9643966696945
D210,224,6040.358744394619,5500.0,204,42,115,2591.793851026396
A570,216,6632.701421800948,5500.0,176,54,128,3791.5377959405314
P202,199,6251.256281407035,5500.0,178,33,77,3137.776657631968
C168,162,5700.0,5000.0,146,50,97,3069.5296999078455
I254,141,9333.333333333334,8500.0,128,46,99,4199.119360809601
Z181,138,5669.117647058823,5250.0,136,40,74,3215.829245187747
J879,136,7184.210526315789,5500.0,114,35,77,8329.045946540655
D005,124,5857.723577235773,5500.0,112,35,77,2643.054868465323
D016,119,7334.482758620689,6000.0,105,39,68,5673.2339285804
V411,119,7556.0344827586205,6750.0,108,36,84,3914.1724383401242
J844,71,6239.43661971831,6000.0,66,30,53,2486.907366488945
D178,67,7617.1875,6500.0,64,21,44,4724.759326615954
J450,64,18921.052631578947,14000.0,64,27,45,10553.769415340683
U585,61,9882.35294117647,7500.0,50,7,48,5011.574837607553
H637,50,8775.510204081633,5500.0,46,24,33,7542.111790148835
M732,37,7972.972972972973,6500.0,37,21,31,4955.280497086396
B249,28,7428.571428571428,6250.0,27,16,18,5158.082987488676
G762,20,8861.111111111111,8000.0,20,11,14,5212.557110860937
Z530,19,6750.0,6000.0,19,10,11,2097.6176963403027
C155,12,13333.333333333334,11250.0,12,9,11,7705.763289823265
