city,similar_city_1,similar_city_2,similar_city_3,similar_city_4,similar_city_5
X232,B470,E478,U989,S500,A655
E027,U125,X916,U289,M108,J351
I784,L599,L088,A861,G887,F301
X066,D475,Z824,S500,X990,X232
G282,X536,V042,D346,L977,C906
S295,Y495,I227,D672,G129,J719
B748,D881,R775,M907,C906,T526
A717,M857,P772,N377,O824,R251
Y034,D346,F659,Z789,S750,G282
T766,V726,M935,R251,N377,X910
N476,L161,S503,Z581,W657,E956
G380,T526,O824,I426,B574,M857
P543,F554,P939,K294,U692,D906
D490,Z490,B826,V365,B873,R858
M108,U125,R141,J351,K571,V625
F659,C906,I282,Y034,P548,S750
V829,H442,P713,F958,O238,Y434
K132,A561,P258,X916,F469,Q715
C070,H610,B674,F554,L847,U947
D881,R775,M907,B748,T526,G575
R775,D881,G575,L977,C906,M907
P623,O621,G129,Y434,X066,D475
O641,H610,E551,E333,O525,V436
D821,V838,N386,I606,Y528,H166
P851,P512,K628,U192,D460,B729
Y359,S503,V404,N476,G691,D490
I730,E333,R716,U038,E551,N821
B729,H879,Y770,I219,D460,R885
O344,X673,W396,Q828,W805,E498
D051,P193,O576,N164,W147,V996
R251,I426,N377,M857,A717,O824
S124,L802,D881,M907,V625,V079
M907,C144,D881,C906,L802,C815
Y531,Y770,N214,R761,O445,C354
F469,H187,T818,L504,Z731,Q715
M060,Y495,S213,K535,J719,S295
B873,V042,R635,V365,R775,C354
G575,R775,S750,C906,T526,M857
Z731,I485,U192,Q985,F469,D672
Y532,J232,W055,I426,I282,J130
S500,X990,G496,B470,O525,D575
P548,W055,F659,Y532,J232,J130
Y434,E057,P623,F958,V829,B474
L086,K389,A195,U827,S297,O354
B574,P939,U692,R494,G380,R988
C815,T526,W055,I282,M907,C906
L802,M907,C144,S124,G904,P353
R988,C144,I282,U692,M907,G904
W055,C815,Y532,P548,N737,J130
Y495,S295,S655,J719,I227,K535
B455,A845,V754,S528,T815,S546
F958,E057,V829,Y434,B826,B474
F554,P543,B674,P939,U947,U692
V404,L161,Y359,N476,P357,M060
E057,F958,Y434,H442,W823,P248
U192,I485,P773,I730,S732,U038
M247,L867,Z824,P773,L847,T061
C144,R988,M907,I282,L802,C906
E416,N273,B674,P741,C070,H879
B474,I345,W823,F958,Y434,O576
B674,E727,F554,M066,C070,E416
A845,Q821,N914,W029,S668,S546
R635,V042,C354,B873,R761,Y770
W396,O344,A717,O776,W657,Z581
K294,P543,R885,V625,B383,J674
O576,V996,S297,O354,A195,F446
Q821,A845,S546,W029,N914,G575
S764,J351,L518,J722,R858,D881
W657,O776,N476,Z581,W805,E956
V042,R635,L977,B873,G282,W029
L161,N476,E956,V404,D475,W657
K909,A655,B470,O621,S500,W805
E956,L161,M697,Z581,N476,W657
S732,R716,I730,U038,S655,E333
I426,J232,Q828,M857,G380,Y532
N737,W055,Y532,J130,D767,P548
S655,K845,Y495,A861,I227,S295
P353,V625,R083,S124,Y784,L802
T818,R105,F469,H187,J565,R141
G691,B873,Y359,D490,G065,N377
S546,S528,T815,R646,E072,A845
W805,O776,W657,E956,O344,Z581
C354,V365,J565,R635,L977,B873
I485,U192,Q985,Z731,S655,K845
V883,S808,K845,S655,Y495,S295
B470,S500,X990,X232,U989,G496
O776,W657,W805,Z581,E956,W396
X673,O344,Q828,Y532,J232,F554
R494,B574,I705,T739,U692,D906
R105,T818,J351,J565,H187,M108
J532,G022,M907,G904,S124,L802
L977,W029,R775,N914,V042,C354
V625,P353,S124,M108,U125,R083
G904,L015,M066,E727,C144,R988
K845,S655,A861,L599,Y495,I784
O621,B470,P623,D475,X066,K909
I345,B474,W823,D051,O576,S413
Y770,Y531,R761,B055,R635,B729
E072,B736,E174,R646,U561,S546
S750,J232,A685,Q828,G575,M857
N914,L623,S668,A497,W029,L977
H696,N780,R083,J565,O309,Y784
N273,E416,X798,Y770,Q598,Z347
I219,I705,T739,K628,R885,G022
J722,Z463,G065,S546,S764,B748
I705,T739,I219,M101,R494,D906
D767,C675,J130,R230,U561,N737
G022,J532,M101,Y784,I219,U555
Q598,X798,Y788,B055,J565,Y770
J232,J130,I426,A685,Q828,Y532
Q828,A685,J232,I426,S750,L623
G065,Z463,G328,J722,H574,Q821
O525,V838,E333,E551,I057,G496
Z581,N476,M697,W657,E956,D832
W029,L977,N914,H574,A845,A497
R761,B055,C354,Y770,J565,N780
B383,D460,R885,W665,J674,I219
Z450,Q531,T818,H913,R105,O641
U072,X246,R246,P559,M585,X058
J130,J232,C675,G328,U561,I426
G378,W405,J037,A685,B369,G904
S668,L623,N914,A497,R646,L961
H574,G328,A497,L623,L961,N914
J565,N780,R083,B055,C354,R761
S198,B733,S732,I730,U192,I485
J037,G378,B369,A685,W405,S668
B623,J470,M585,W147,F106,V996
J674,W665,K628,D460,I219,B383
L015,G904,M066,G378,J037,U555
M697,D832,Z581,E956,W657,O776
Q985,I485,Z731,B733,U192,K845
K389,L086,A195,S303,S297,U827
B055,N780,J565,R761,R083,C023
S808,V883,Y495,S295,B733,S655
T739,I705,I219,M101,R494,D906
N780,R083,J565,H696,B055,Y784
K628,J674,D460,I219,P512,W665
Z463,G065,G328,J722,R775,H574
M101,Y784,I705,T739,G022,A497
V754,M738,O145,F106,U555,Q027
B736,E072,R646,E174,L961,M738
H913,L961,U183,L623,A497,A149
A685,J232,Q828,L623,J037,W405
U561,C675,W405,R646,L961,J130
B608,U072,A181,K641,P711,R246
G328,H574,C675,L961,J130,G065
X798,N273,Q598,B937,Y770,Y788
J470,B623,V996,W147,V403,S303
C675,J130,U561,G328,D767,L961
S413,J470,C023,S303,K389,R387
R083,N780,Y784,J565,B055,O309
Q531,C155,J450,U585,S335,Z530
Y784,M101,A497,R083,U555,O309
C326,C180,R230,B249,G762,M732
L623,S668,A497,N914,L961,A685
W665,J674,D460,K641,Z251,B383
R230,C326,D899,D767,J844,B249
O323,A295,O145,N629,O309,U183
D460,W665,K628,Z347,J674,P512
D832,M697,Z581,D899,C675,B736
W405,G378,U561,A685,J037,B369
A295,O323,O145,N629,O309,Y788
Z347,A181,D460,Z251,C023,J450
E174,F106,M738,M585,E072,B736
A497,L623,N914,S668,L961,U555
B733,S198,S732,S808,I485,Q985
R646,L961,B736,S668,E072,B369
U555,O145,Y788,A497,V754,O323
B369,S668,J037,A149,R646,E174
P512,D460,A181,K628,Z347,P851
U827,C324,A195,S297,S303,H800
S335,F106,M738,A570,A149,V403
B937,Z251,Y788,K641,P711,G762
Y788,O145,U555,B937,S650,O309
M585,F106,A570,E174,M738,R387
A149,M738,F106,U183,B369,C180
D899,N629,S650,U585,D016,Z530
O145,Y788,U555,O323,N629,V754
S759,U827,C324,A195,P559,X058
C023,Z347,S413,B055,J450,D005
R387,P202,D210,V403,A570,H800
K641,Z251,B937,P711,R246,G762
Z251,P711,R246,I254,V411,G762
U183,L961,H913,C180,A149,R646
X246,P559,R246,X058,U072,F106
Q027,V403,R387,F446,D210,P202
L961,R646,U183,H913,L623,S668
O309,Z530,C180,D178,U585,B249
P711,C155,Z251,U585,J450,H637
F106,M738,S335,M585,E174,A570
C180,U183,U585,O309,Z530,A149
N629,S650,D899,M738,U585,Z530
S650,U585,C155,N629,Z530,M732
M738,F106,S335,E174,N629,A149
R246,P559,X246,X058,Z251,I254
W147,F446,V996,O354,V403,A195
P559,R246,X058,X246,H800,C324
A195,S297,O354,V996,C324,F446
V996,O354,W147,F446,S297,A195
C324,H800,X058,S297,A195,S303
A181,J450,R246,Z251,P559,P711
S297,A195,V996,O354,C324,H800
S303,H800,D210,C324,R387,S297
O354,V996,F446,W147,A195,S297
F446,W147,O354,V996,V403,Q027
H800,X058,D210,C324,S303,R387
X058,H800,C324,D210,R387,P202
V403,P202,D210,A570,R387,Q027
D210,P202,H800,V403,R387,X058
A570,V403,P202,R387,D210,Q027
P202,D210,V403,R387,A570,H800
C168,Z181,D005,J879,D016,V411
I254,V411,D016,D005,Z181,H637
Z181,C168,J879,D016,D005,V411
J879,D016,Z181,V411,C168,D005
D005,Z181,V411,D016,J844,C168
V411,D016,H637,J844,D178,D005
D016,J879,V411,Z181,D005,D178
J844,B249,G762,H637,V411,M732
D178,H637,B249,M732,Z530,V411
J450,I254,G762,H637,V411,C155
U585,C155,Z530,M732,D178,H637
H637,M732,B249,D178,G762,J844
M732,B249,H637,D178,J844,G762
B249,M732,H637,D178,J844,G762
G762,J844,B249,H637,M732,D178
Z530,D178,M732,B249,H637,J844
C155,U585,H637,M732,D178,Z530
