company_type,industry_avg_exp_threshold,industry_avg_edu_threshold,industry_comprehensive_threshold
type_YgqIFe,6.84594298245614,6.6639254385964914,6.754934210526316
type_tQUfOq,6.75,6.747685185185186,6.748842592592593
type_ylOZvC,6.444444444444445,7.037037037037037,6.740740740740741
type_fvIHbx,6.662148070907195,6.798965936739659,6.730557003823428
type_GXFMik,7.033902110462505,6.399678191887443,6.716790151174974
type_xfFBgF,6.875,6.551398337112622,6.7131991685563115
type_YwwqZR,6.77809187279152,6.625441696113074,6.701766784452297
type_TCHRUI,6.910958904109589,6.489012557077626,6.699985730593608
type_amzGIA,6.6992481203007515,6.692773600668337,6.696010860484545
type_eUeSgv,6.805825242718447,6.553398058252427,6.679611650485437
type_BPRUkx,6.466237942122186,6.888684734343898,6.6774613382330426
type_FdhMSx,6.889704340532607,6.461347592087789,6.675525966310198
type_BFBWru,6.717791411042945,6.625766871165644,6.671779141104294
type_irYhZM,6.7467885913346395,6.594818201611147,6.670803396472894
type_lwxCGv,6.829978652028057,6.511004371251397,6.670491511639728
type_Qsuxmp,6.622950819672131,6.666666666666666,6.644808743169399
type_aAuygy,6.695395513577332,6.438410074773712,6.566902794175522
type_VBUKIy,6.74468085106383,6.3563829787234045,6.550531914893617
type_fFlUqG,6.684092606422704,6.397622603933284,6.540857605177993
type_dsOEak,6.573333333333333,6.5,6.536666666666667
type_vjgYNw,6.566284779050736,6.500272776868521,6.533278777959629
type_qhLBWb,6.538804832916077,6.509197779470991,6.524001306193535
type_bLteBD,6.56,6.47,6.515
type_CiMmHM,6.75,6.180555555555556,6.465277777777778
type_vOhwEs,6.271535580524344,6.5742041198501875,6.422869850187266
type_JzQWyM,6.355263157894737,6.43640350877193,6.395833333333333
type_EALDJm,6.479882237487733,6.30765456329735,6.393768400392542
type_kwzqET,6.502881844380403,6.236791546589817,6.369836695485111
type_PanQpo,6.616518030244281,6.118650639782862,6.3675843350135715
type_qGLNuz,6.566378889069881,6.154775479176847,6.360577184123365
type_PCcrub,6.672829274512304,5.85936503888818,6.266097156700242
type_oWxwZg,6.492836676217765,6.023877745940783,6.258357211079274
type_wiXJCA,6.670028818443804,5.82492795389049,6.247478386167147
type_BtQkpd,6.69488188976378,5.752952755905512,6.223917322834645
type_gjAfBT,6.504587155963303,5.940366972477064,6.222477064220183
type_iQQmHS,6.620320855614973,5.810415075120957,6.215367965367966
type_KGWlNJ,6.179856115107913,6.2110311750599525,6.195443645083933
type_XqvUzw,6.471879286694102,5.847965249199817,6.15992226794696
type_oaLAkP,6.4522968197879855,5.792108362779741,6.122202591283863
type_lKGeKN,6.333333333333333,5.857843137254902,6.095588235294118
type_ruszQK,6.154712730003755,6.024377268744524,6.08954499937414
type_uTAWZv,6.48858958068615,5.536975857687421,6.012782719186785
type_tFSEPv,6.436781609195402,5.478927203065134,5.957854406130268
type_DNepgK,6.320027063599459,5.58806946323861,5.954048263419035
type_kCfcsh,6.300230946882217,5.540800615858353,5.920515781370285
type_wEOEft,6.319444444444445,5.401234567901235,5.860339506172839
type_cKPiRk,6.2682926829268295,5.420054200542005,5.8441734417344176
type_qnHODO,6.40847280334728,5.255186541143654,5.831829672245467
type_TrLkYZ,6.315384615384615,5.205128205128204,5.76025641025641
type_XiYUxk,6.034682080924855,5.197495183044316,5.616088631984586
