company_type,industry_hot_count,industry_hot_norm,is_high_activity
type_vzSaPI,363,0.016826588791544986,0
type_euNhiG,349,0.016177629444212673,0
type_GNLkvm,347,0.01608492096602234,0
type_AhjheX,347,0.01608492096602234,0
type_SkCZro,331,0.015343253140499698,0
type_hjdslw,311,0.014416168358596394,0
type_Qsuxmp,305,0.014138042924025401,0
type_WoMhkt,303,0.014045334445835072,0
type_oaLAkP,283,0.013118249663931766,0
type_EguSJg,263,0.012191164882028462,0
type_cgjjyf,262,0.012144810642933296,0
type_tFSEPv,261,0.012098456403838132,0
type_CkxARz,251,0.011634914012886478,0
type_bLteBD,250,0.011588559773791314,0
type_yydJdA,240,0.01112501738283966,0
type_yZDEvF,235,0.010893246187363835,0
type_QZOppi,228,0.010568766513697678,0
type_dsOEak,225,0.010429703796412181,0
type_wEOEft,216,0.010012515644555695,0
type_kCYTOy,197,0.009131785101747555,0
type_VBUKIy,188,0.008714596949891068,0
type_XiYUxk,173,0.00801928336346359,0
type_SZBUrQ,171,0.007926574885273258,0
type_BFBWru,163,0.0075557409725119365,0
type_NUgLOO,152,0.007045844342465119,0
type_NqSxHM,148,0.0068604273860844575,0
type_btoDfW,146,0.006767718907894127,0
type_PnQIgn,143,0.0066286561906086314,0
type_KGWlNJ,139,0.00644323923422797,0
type_TrLkYZ,130,0.006026051082371483,0
type_cKPiRk,123,0.005701571408705326,0
type_cXHODn,116,0.005377091735039169,0
type_gjAfBT,109,0.005052612061373012,0
type_tjGjDL,109,0.005052612061373012,0
type_eUeSgv,103,0.004774486626802021,0
type_lKGeKN,102,0.004728132387706856,0
type_lYBMVZ,102,0.004728132387706856,0
type_vLcQvm,100,0.004635423909516525,0
type_dZRlFC,96,0.004450006953135864,0
type_sIBWvi,95,0.004403652714040699,0
type_IFmZvL,90,0.004171881518564873,0
type_nQwYnp,79,0.0036619848885180548,0
type_JzQWyM,76,0.0035229221712325593,0
type_tQUfOq,72,0.003337505214851898,0
type_wedisU,68,0.0031520882584712374,0
type_lOOuyw,44,0.002039586520187271,0
type_vQQLek,42,0.0019468780419969406,0
type_WHjRBO,40,0.00185416956380661,0
type_ZjNQpn,32,0.0014833356510452881,0
type_MpUmNW,30,0.0013906271728549575,0
type_oSChwS,23,0.001066147499188801,0
type_CiMmHM,12,0.000556250869141983,0
type_ylOZvC,9,0.00041718815185648727,0
type_PeStkD,8,0.00037083391276132203,0
type_IkixkP,4,0.00018541695638066101,0
type_ISPdob,3,0.00013906271728549575,0
