region_id,region_label,cluster_id,cluster_label,city_tier,job_count,salary_mean,salary_median,education_level,experience_demand,skill_concentration,finance_maturity,scale_intensity
B937,#34,2,均衡发展型,其他,287,71.39,66.0,0.7587,0.6541,0.2948,0.4,0.4081
C023,#35,2,均衡发展型,其他,286,71.32,66.0,0.7933,0.6518,0.2437,0.4,0.4076
C070,#36,2,均衡发展型,三线,297,85.29,70.15,0.7887,0.6364,0.2698,0.55,0.4126
C144,#37,2,均衡发展型,三线,296,66.96,58.0,0.7416,0.638,0.1432,0.55,0.4121
C155,#38,4,基础岗位普及型,其他,12,160.71,120.0,0.7396,0.5714,0.0024,0.4,0.0
C168,#39,2,均衡发展型,其他,162,67.25,60.0,0.7716,0.6684,0.1635,0.4,0.3331
C180,#40,2,均衡发展型,其他,281,69.4,68.0,0.7536,0.6396,0.1715,0.4,0.4053
C324,#41,2,均衡发展型,其他,273,80.71,66.0,0.788,0.6735,0.252,0.4,0.4015
C326,#42,2,均衡发展型,其他,291,73.12,69.0,0.7599,0.6549,0.242,0.4,0.4099
C354,#43,2,均衡发展型,其他,295,64.91,61.5,0.7678,0.6339,0.2702,0.4,0.4117
C675,#44,2,均衡发展型,其他,290,68.31,54.0,0.7599,0.6414,0.2477,0.4,0.4094
C815,#45,2,均衡发展型,三线,296,71.69,66.0,0.7504,0.6453,0.139,0.55,0.4121
C906,#46,2,均衡发展型,二线,298,65.6,56.5,0.7597,0.6342,0.1968,0.75,0.413
D005,#47,2,均衡发展型,其他,124,70.2,60.0,0.7933,0.6889,0.1418,0.4,0.2981
D016,#48,2,均衡发展型,其他,119,86.36,74.0,0.7857,0.6531,0.1003,0.4,0.2928
D022,#49,2,均衡发展型,一线,596,71.0,61.2,0.7928,0.6551,0.3639,1.0,0.5041
D051,#50,2,均衡发展型,其他,296,70.65,66.0,0.7694,0.6472,0.3086,0.4,0.4121
D090,#51,2,均衡发展型,一线,589,76.84,67.2,0.7678,0.6495,0.3103,1.0,0.5026
D135,#52,2,均衡发展型,二线,300,77.61,78.0,0.7754,0.6376,0.3189,0.75,0.4139
D178,#53,2,均衡发展型,其他,67,90.95,78.0,0.7966,0.6375,0.1693,0.4,0.2179
D210,#54,2,均衡发展型,其他,224,71.65,66.0,0.7812,0.6824,0.0558,0.4,0.3756
D346,#55,2,均衡发展型,二线,299,68.14,67.09,0.7625,0.6326,0.2505,0.75,0.4135
D460,#56,2,均衡发展型,其他,290,79.75,68.57,0.7776,0.6645,0.2114,0.4,0.4094
D475,#57,2,均衡发展型,三线,297,75.08,70.5,0.7395,0.6604,0.3272,0.55,0.4126
D490,#58,2,均衡发展型,三线,297,62.65,56.0,0.7635,0.6412,0.3474,0.55,0.4126
D575,#59,2,均衡发展型,二线,298,95.84,84.0,0.7739,0.6568,0.3185,0.75,0.413
D672,#60,2,均衡发展型,三线,298,71.66,60.0,0.8037,0.6707,0.2983,0.55,0.413
D762,#61,2,均衡发展型,三线,297,77.95,66.0,0.7639,0.658,0.2906,0.55,0.4126
D767,#62,2,均衡发展型,其他,294,72.27,66.0,0.7636,0.6516,0.3106,0.4,0.4112
D821,#63,2,均衡发展型,其他,295,81.53,72.0,0.7852,0.6455,0.4354,0.4,0.4117
D832,#64,2,均衡发展型,其他,290,65.67,60.0,0.7763,0.6404,0.3324,0.4,0.4094
D881,#65,2,均衡发展型,三线,296,67.55,72.0,0.7838,0.6409,0.2286,0.55,0.4121
D899,#66,2,均衡发展型,其他,287,69.1,66.0,0.7635,0.6431,0.2516,0.4,0.4081
D906,#67,2,均衡发展型,三线,297,74.66,60.0,0.7736,0.6479,0.1326,0.55,0.4126
E027,#68,2,均衡发展型,三线,297,74.05,66.0,0.7748,0.6441,0.2386,0.55,0.4126
E057,#69,2,均衡发展型,三线,296,74.62,69.0,0.777,0.6549,0.3104,0.55,0.4121
E072,#70,2,均衡发展型,其他,294,73.38,66.0,0.7713,0.6375,0.1809,0.4,0.4112
E174,#71,2,均衡发展型,其他,290,72.15,65.33,0.7767,0.63,0.2443,0.4,0.4094
E180,#72,2,均衡发展型,三线,298,82.08,72.0,0.7672,0.6721,0.3304,0.55,0.413
E333,#73,2,均衡发展型,三线,298,135.8,108.0,0.8675,0.6999,0.5097,0.55,0.413
E416,#74,2,均衡发展型,其他,295,78.17,68.0,0.7687,0.6499,0.2021,0.4,0.4117
E478,#75,2,均衡发展型,二线,298,83.42,72.0,0.7496,0.6625,0.4088,0.75,0.413
E498,#76,2,均衡发展型,三线,297,73.88,67.09,0.7732,0.6335,0.3142,0.55,0.4126
E551,#77,2,均衡发展型,二线,298,109.51,90.0,0.802,0.6745,0.3407,0.75,0.413
E727,#78,2,均衡发展型,三线,296,104.93,75.86,0.7352,0.6211,0.1694,0.55,0.4121
E956,#79,2,均衡发展型,其他,295,73.92,65.75,0.7606,0.6489,0.2173,0.4,0.4117
F047,#80,0,高端人才型,一线,25759,148.28,132.89,0.8892,0.7231,0.7622,1.0,1.0
F106,#81,2,均衡发展型,其他,282,81.52,81.0,0.7646,0.6201,0.1337,0.4,0.4058
F301,#82,2,均衡发展型,二线,300,80.52,66.0,0.8275,0.6762,0.3647,0.75,0.4139
F379,#83,0,高端人才型,一线,24507,90.78,97.47,0.847,0.6817,0.7349,1.0,0.9934
F410,#84,2,均衡发展型,二线,299,75.26,66.0,0.7379,0.6722,0.2587,0.75,0.4135
F446,#85,2,均衡发展型,其他,263,69.7,62.0,0.7514,0.6366,0.1577,0.4,0.3966
F469,#86,2,均衡发展型,其他,296,69.5,63.0,0.7897,0.653,0.2368,0.4,0.4121
F554,#87,2,均衡发展型,三线,296,99.07,78.0,0.7622,0.6419,0.1678,0.55,0.4121
F659,#88,2,均衡发展型,三线,297,69.85,66.64,0.7395,0.6465,0.2816,0.55,0.4126
F861,#89,2,均衡发展型,二线,300,98.56,78.0,0.8217,0.6643,0.4026,0.75,0.4139
F958,#90,2,均衡发展型,三线,296,72.93,67.5,0.7639,0.653,0.2516,0.55,0.4121
G022,#91,2,均衡发展型,其他,294,75.0,66.0,0.7581,0.6521,0.1913,0.4,0.4112
G065,#92,2,均衡发展型,其他,294,65.35,62.4,0.7696,0.639,0.2775,0.4,0.4112
G129,#93,2,均衡发展型,三线,298,72.73,66.0,0.8083,0.6788,0.36,0.55,0.413
G282,#94,2,均衡发展型,三线,297,70.9,64.0,0.7571,0.6412,0.2253,0.55,0.4126
G328,#95,2,均衡发展型,其他,292,63.88,58.5,0.7521,0.636,0.2833,0.4,0.4103
G378,#96,2,均衡发展型,其他,293,99.73,69.6,0.7551,0.6412,0.1556,0.4,0.4108
G380,#97,2,均衡发展型,三线,296,68.39,60.0,0.7661,0.6284,0.2195,0.55,0.4121
G496,#98,2,均衡发展型,二线,298,97.84,84.0,0.7903,0.6774,0.3352,0.75,0.413
G575,#99,2,均衡发展型,三线,296,58.39,60.0,0.7825,0.6231,0.2711,0.55,0.4121
G691,#100,2,均衡发展型,其他,295,62.87,54.0,0.7813,0.6431,0.2139,0.4,0.4117
G762,#101,2,均衡发展型,其他,20,103.44,84.0,0.825,0.7071,0.0483,0.4,0.0632
G887,#102,2,均衡发展型,三线,298,76.13,66.0,0.8003,0.6481,0.2987,0.55,0.413
G904,#103,2,均衡发展型,其他,295,79.76,71.57,0.7479,0.6378,0.1768,0.4,0.4117
G905,#104,2,均衡发展型,二线,299,73.79,78.0,0.7956,0.6364,0.349,0.75,0.4135
H166,#105,2,均衡发展型,二线,299,92.76,84.0,0.8206,0.6737,0.3743,0.75,0.4135
H187,#106,2,均衡发展型,二线,298,67.07,65.0,0.7928,0.6419,0.2068,0.75,0.413
H442,#107,2,均衡发展型,三线,297,67.16,63.0,0.758,0.6537,0.2094,0.55,0.4126
H574,#108,2,均衡发展型,其他,293,69.69,66.0,0.7786,0.6382,0.2522,0.4,0.4108
H610,#109,2,均衡发展型,二线,298,340.42,300.0,0.9446,0.7536,0.2328,0.75,0.413
H637,#110,2,均衡发展型,其他,50,99.68,66.0,0.7575,0.6629,0.0493,0.4,0.1801
H696,#111,2,均衡发展型,其他,294,66.73,66.0,0.7921,0.6448,0.2435,0.4,0.4112
H800,#112,2,均衡发展型,其他,255,77.83,76.25,0.7966,0.679,0.1391,0.4,0.3926
H879,#113,2,均衡发展型,二线,298,72.96,66.0,0.7676,0.65,0.2141,0.75,0.413
H913,#114,2,均衡发展型,其他,292,72.21,66.0,0.7628,0.6365,0.1927,0.4,0.4103
I057,#115,2,均衡发展型,三线,298,94.36,78.0,0.7949,0.6582,0.3809,0.55,0.413
I219,#116,2,均衡发展型,其他,294,68.73,60.0,0.7568,0.6535,0.1398,0.4,0.4112
I227,#117,2,均衡发展型,二线,299,78.12,66.0,0.8353,0.6684,0.4218,0.75,0.4135
I254,#118,2,均衡发展型,其他,141,111.34,103.71,0.8085,0.7011,0.1442,0.4,0.3149
I282,#119,2,均衡发展型,三线,297,74.09,66.0,0.7424,0.6436,0.2016,0.55,0.4126
I345,#120,2,均衡发展型,其他,295,68.0,66.0,0.7547,0.6542,0.3933,0.4,0.4117
I426,#121,2,均衡发展型,其他,295,70.59,67.5,0.7428,0.6324,0.2925,0.4,0.4117
I485,#122,2,均衡发展型,其他,294,75.4,66.0,0.7691,0.6642,0.2181,0.4,0.4112
I529,#123,2,均衡发展型,三线,297,91.6,75.0,0.7887,0.6667,0.3882,0.55,0.4126
I606,#124,2,均衡发展型,三线,298,98.73,84.0,0.8192,0.6668,0.4067,0.55,0.413
I652,#125,2,均衡发展型,三线,298,77.2,69.0,0.7668,0.6486,0.3251,0.55,0.413
I705,#126,2,均衡发展型,其他,294,69.69,66.0,0.756,0.6429,0.1301,0.4,0.4112
I730,#127,2,均衡发展型,其他,296,98.88,84.0,0.7897,0.6839,0.2913,0.4,0.4121
I784,#128,2,均衡发展型,三线,297,79.39,66.0,0.7879,0.6546,0.3487,0.55,0.4126
J037,#129,2,均衡发展型,其他,292,77.24,78.0,0.7534,0.6287,0.2418,0.4,0.4103
J130,#130,2,均衡发展型,其他,293,68.48,61.5,0.7509,0.6421,0.3067,0.4,0.4108
J232,#131,2,均衡发展型,其他,294,68.71,60.0,0.7474,0.6351,0.2185,0.4,0.4112
J309,#132,2,均衡发展型,二线,300,72.94,66.0,0.8067,0.6543,0.2966,0.75,0.4139
J351,#133,2,均衡发展型,三线,297,66.89,61.5,0.7778,0.6359,0.1714,0.55,0.4126
J450,#134,2,均衡发展型,其他,64,237.4,175.0,0.9453,0.7411,0.0267,0.4,0.212
J470,#135,2,均衡发展型,其他,292,73.85,68.67,0.7872,0.6326,0.2023,0.4,0.4103
J532,#136,2,均衡发展型,其他,295,68.02,68.91,0.7453,0.6533,0.1475,0.4,0.4117
J565,#137,2,均衡发展型,其他,293,69.67,75.43,0.7922,0.6324,0.1961,0.4,0.4108
J674,#138,2,均衡发展型,其他,293,74.05,75.0,0.7688,0.648,0.2413,0.4,0.4108
J719,#139,2,均衡发展型,二线,299,78.89,66.0,0.8211,0.6665,0.5221,0.75,0.4135
J722,#140,2,均衡发展型,其他,294,59.09,54.0,0.7946,0.6409,0.2855,0.4,0.4112
J844,#141,2,均衡发展型,其他,71,73.73,72.0,0.7729,0.6962,0.0371,0.4,0.2255
J879,#142,2,均衡发展型,其他,136,78.89,66.0,0.761,0.6471,0.0994,0.4,0.3102
J884,#143,2,均衡发展型,三线,298,69.77,60.0,0.7928,0.6481,0.3211,0.55,0.413
K115,#144,0,高端人才型,一线,24561,168.18,158.74,0.8786,0.7181,0.7616,1.0,0.9937
K132,#145,2,均衡发展型,三线,296,79.23,71.5,0.7872,0.6554,0.1547,0.55,0.4121
K227,#146,2,均衡发展型,二线,299,74.34,66.0,0.7533,0.6484,0.2632,0.75,0.4135
K294,#147,2,均衡发展型,其他,296,73.0,62.0,0.7589,0.6409,0.2476,0.4,0.4121
K389,#148,2,均衡发展型,其他,293,71.99,66.0,0.7952,0.6485,0.3312,0.4,0.4108
K445,#149,0,高端人才型,一线,593,100.61,90.0,0.8605,0.6883,0.388,1.0,0.5034
K535,#150,2,均衡发展型,二线,299,82.14,69.0,0.8215,0.6699,0.5724,0.75,0.4135
K571,#151,2,均衡发展型,二线,298,66.74,56.0,0.7789,0.6237,0.1893,0.75,0.413
K628,#152,2,均衡发展型,其他,292,72.71,63.0,0.768,0.6659,0.1173,0.4,0.4103
K641,#153,2,均衡发展型,其他,286,73.52,68.0,0.7482,0.6613,0.16,0.4,0.4076
K816,#154,2,均衡发展型,三线,298,79.16,72.0,0.7894,0.6539,0.3422,0.55,0.413
K845,#155,2,均衡发展型,其他,295,76.6,66.0,0.7924,0.6547,0.3577,0.4,0.4117
K909,#156,2,均衡发展型,其他,296,76.64,72.0,0.7766,0.6486,0.3335,0.4,0.4121
L015,#157,2,均衡发展型,其他,293,73.95,61.8,0.7483,0.6304,0.2363,0.4,0.4108
L086,#158,2,均衡发展型,三线,296,72.28,66.0,0.791,0.6477,0.2386,0.55,0.4121
L088,#159,2,均衡发展型,三线,297,75.94,65.0,0.7984,0.6522,0.3324,0.55,0.4126
L122,#160,2,均衡发展型,二线,300,73.83,66.0,0.7837,0.6181,0.2739,0.75,0.4139
L161,#161,2,均衡发展型,三线,296,72.41,70.5,0.7694,0.6472,0.2686,0.55,0.4121
L504,#162,2,均衡发展型,二线,299,69.46,66.0,0.796,0.6593,0.2479,0.75,0.4135
L518,#163,2,均衡发展型,二线,299,65.06,64.0,0.7855,0.6431,0.1466,0.75,0.4135
L599,#164,2,均衡发展型,三线,298,80.71,72.0,0.805,0.664,0.3142,0.55,0.413
L623,#165,2,均衡发展型,其他,291,66.6,56.18,0.7633,0.6225,0.2562,0.4,0.4099
L726,#166,2,均衡发展型,二线,298,65.94,64.5,0.7739,0.6524,0.263,0.75,0.413
L802,#167,2,均衡发展型,其他,296,69.51,66.0,0.7517,0.6419,0.1881,0.4,0.4121
L847,#168,2,均衡发展型,三线,298,105.04,96.0,0.7894,0.674,0.2101,0.55,0.413
L867,#169,2,均衡发展型,二线,299,84.46,78.0,0.7592,0.6608,0.3017,0.75,0.4135
L961,#170,2,均衡发展型,其他,283,61.72,54.0,0.7637,0.6032,0.2118,0.4,0.4062
L977,#171,2,均衡发展型,其他,295,66.39,62.0,0.7678,0.6354,0.2944,0.4,0.4117
M060,#172,2,均衡发展型,其他,296,72.64,66.0,0.7872,0.6535,0.3775,0.4,0.4121
M066,#173,2,均衡发展型,三线,298,85.91,75.0,0.7357,0.6208,0.1275,0.55,0.413
M101,#174,2,均衡发展型,其他,292,69.88,66.0,0.7551,0.6394,0.1486,0.4,0.4103
M108,#175,2,均衡发展型,三线,297,75.96,60.0,0.7954,0.6306,0.2084,0.55,0.4126
M120,#176,2,均衡发展型,二线,300,67.78,64.5,0.7796,0.6338,0.2588,0.75,0.4139
M247,#177,2,均衡发展型,三线,296,81.13,66.0,0.7635,0.6612,0.2016,0.55,0.4121
M585,#178,2,均衡发展型,其他,287,77.98,75.0,0.7626,0.6401,0.3507,0.4,0.4081
M697,#179,2,均衡发展型,其他,293,69.91,66.0,0.7637,0.6494,0.3562,0.4,0.4108
M732,#180,2,均衡发展型,其他,37,96.08,78.0,0.7601,0.6602,0.016,0.4,0.1413
M738,#181,2,均衡发展型,其他,279,70.63,68.4,0.7688,0.6175,0.1975,0.4,0.4044
M857,#182,2,均衡发展型,二线,298,64.09,54.0,0.7508,0.617,0.2833,0.75,0.413
M907,#183,2,均衡发展型,三线,296,66.32,63.86,0.7808,0.6443,0.2455,0.55,0.4121
M935,#184,2,均衡发展型,二线,300,68.32,60.0,0.7596,0.6286,0.233,0.75,0.4139
N164,#185,2,均衡发展型,三线,297,71.65,63.0,0.7715,0.6335,0.2611,0.55,0.4126
N214,#186,2,均衡发展型,三线,298,74.98,66.0,0.7856,0.6371,0.3284,0.55,0.413
N273,#187,2,均衡发展型,其他,294,84.19,78.0,0.7547,0.6501,0.2349,0.4,0.4112
N377,#188,2,均衡发展型,三线,297,59.56,54.0,0.7715,0.634,0.2535,0.55,0.4126
N386,#189,2,均衡发展型,三线,297,89.39,76.5,0.795,0.6551,0.3628,0.55,0.4126
N430,#190,2,均衡发展型,二线,299,71.82,66.0,0.7646,0.6412,0.2833,0.75,0.4135
N476,#191,2,均衡发展型,三线,297,67.26,60.0,0.7744,0.6344,0.4211,0.55,0.4126
N629,#192,2,均衡发展型,其他,280,69.01,69.69,0.7719,0.6296,0.2421,0.4,0.4048
N737,#193,2,均衡发展型,其他,295,73.12,75.6,0.7581,0.6528,0.2561,0.4,0.4117
N780,#194,2,均衡发展型,其他,292,66.8,66.0,0.7654,0.6365,0.2313,0.4,0.4103
N806,#195,0,高端人才型,一线,22941,116.29,108.67,0.8481,0.6993,0.7256,1.0,0.9847
N821,#196,2,均衡发展型,其他,296,96.35,84.0,0.7855,0.6708,0.3737,0.4,0.4121
N914,#197,2,均衡发展型,其他,294,70.2,54.0,0.7483,0.6312,0.2346,0.4,0.4112
O145,#198,2,均衡发展型,其他,287,67.44,65.5,0.7365,0.6351,0.2374,0.4,0.4081
O198,#199,0,高端人才型,一线,22947,83.43,77.5,0.8578,0.6939,0.7968,1.0,0.9848
O238,#200,2,均衡发展型,二线,300,58.89,46.5,0.7738,0.6486,0.2204,0.75,0.4139
O309,#201,2,均衡发展型,其他,283,65.11,63.6,0.7787,0.6355,0.203,0.4,0.4062
O323,#202,2,均衡发展型,其他,291,68.22,66.0,0.7449,0.6387,0.3474,0.4,0.4099
O344,#203,2,均衡发展型,三线,296,80.55,66.0,0.758,0.6289,0.2989,0.55,0.4121
O354,#204,2,均衡发展型,其他,270,66.05,66.0,0.7671,0.6487,0.0498,0.4,0.4001
O445,#205,2,均衡发展型,二线,300,64.95,63.0,0.7925,0.6529,0.286,0.75,0.4139
O482,#206,2,均衡发展型,三线,296,71.16,66.0,0.7829,0.6564,0.3386,0.55,0.4121
O525,#207,2,均衡发展型,其他,293,105.46,84.0,0.8106,0.665,0.4132,0.4,0.4108
O576,#208,2,均衡发展型,其他,296,72.83,66.0,0.7521,0.6549,0.2805,0.4,0.4121
O621,#209,2,均衡发展型,其他,295,73.3,66.0,0.7767,0.662,0.4324,0.4,0.4117
O641,#210,2,均衡发展型,其他,296,80.08,78.0,0.7796,0.6458,0.242,0.4,0.4121
O776,#211,2,均衡发展型,其他,295,73.69,66.0,0.7453,0.6431,0.3087,0.4,0.4117
O824,#212,2,均衡发展型,二线,300,69.26,54.0,0.7817,0.6205,0.2614,0.75,0.4139
O910,#213,2,均衡发展型,二线,299,77.18,66.0,0.7634,0.6441,0.3,0.75,0.4135
P050,#214,2,均衡发展型,二线,300,81.11,66.0,0.8096,0.6738,0.3149,0.75,0.4139
P193,#215,2,均衡发展型,其他,296,74.19,66.0,0.7648,0.6641,0.3049,0.4,0.4121
P202,#216,2,均衡发展型,其他,199,72.14,64.0,0.7701,0.6691,0.4363,0.4,0.3601
P248,#217,2,均衡发展型,二线,298,67.41,60.0,0.7982,0.6577,0.2301,0.75,0.413
P258,#218,2,均衡发展型,二线,299,82.53,75.0,0.8085,0.656,0.2555,0.75,0.4135
P353,#219,2,均衡发展型,其他,294,65.1,57.0,0.7785,0.6365,0.1863,0.4,0.4112
P357,#220,2,均衡发展型,三线,298,76.32,72.0,0.8033,0.6414,0.3327,0.55,0.413
P512,#221,2,均衡发展型,其他,288,81.37,70.0,0.7595,0.6905,0.2412,0.4,0.4085
P543,#222,2,均衡发展型,其他,296,75.67,66.0,0.7682,0.639,0.1911,0.4,0.4121
P548,#223,2,均衡发展型,三线,296,73.54,66.0,0.7416,0.6506,0.3909,0.55,0.4121
P559,#224,2,均衡发展型,其他,276,96.45,96.0,0.7781,0.6615,0.1345,0.4,0.403
P623,#225,2,均衡发展型,其他,295,70.16,66.0,0.7687,0.6625,0.2852,0.4,0.4117
P711,#226,2,均衡发展型,其他,282,78.61,71.0,0.7731,0.6439,0.2801,0.4,0.4058
P713,#227,2,均衡发展型,三线,296,77.1,61.2,0.7555,0.6525,0.2538,0.55,0.4121
P741,#228,2,均衡发展型,二线,300,80.42,72.0,0.7675,0.6595,0.2948,0.75,0.4139
P772,#229,2,均衡发展型,二线,299,65.01,58.5,0.7726,0.6359,0.2628,0.75,0.4135
P773,#230,2,均衡发展型,三线,298,84.53,78.0,0.763,0.6855,0.321,0.55,0.413
P851,#231,2,均衡发展型,其他,296,79.88,71.7,0.7711,0.6694,0.1999,0.4,0.4121
P939,#232,2,均衡发展型,三线,298,75.89,66.0,0.7592,0.6352,0.1939,0.55,0.413
P949,#233,0,高端人才型,一线,24660,134.55,117.43,0.8573,0.7207,0.756,1.0,0.9943
Q027,#234,2,均衡发展型,其他,283,64.44,54.0,0.7491,0.6492,0.2771,0.4,0.4062
Q095,#235,2,均衡发展型,三线,298,84.28,81.0,0.7844,0.6582,0.2599,0.55,0.413
Q163,#236,2,均衡发展型,三线,296,72.72,66.0,0.758,0.6535,0.2182,0.55,0.4121
Q531,#237,2,均衡发展型,其他,291,77.1,66.0,0.7779,0.6387,0.2834,0.4,0.4099
Q598,#238,2,均衡发展型,其他,294,75.4,70.0,0.7747,0.6346,0.1933,0.4,0.4112
Q715,#239,2,均衡发展型,二线,298,69.41,57.0,0.8071,0.6534,0.203,0.75,0.413
Q821,#240,2,均衡发展型,其他,296,62.38,62.0,0.7601,0.6269,0.2547,0.4,0.4121
Q828,#241,2,均衡发展型,其他,294,71.61,64.5,0.7564,0.6288,0.2437,0.4,0.4112
Q985,#242,2,均衡发展型,其他,292,73.05,60.0,0.777,0.6629,0.2548,0.4,0.4103
R083,#243,2,均衡发展型,其他,291,71.38,66.0,0.7766,0.6294,0.2563,0.4,0.4099
R105,#244,2,均衡发展型,其他,295,66.04,66.0,0.7979,0.632,0.1572,0.4,0.4117
R141,#245,2,均衡发展型,三线,297,71.29,76.77,0.7795,0.6258,0.2699,0.55,0.4126
R230,#246,2,均衡发展型,其他,291,71.34,66.0,0.7741,0.6554,0.2791,0.4,0.4099
R246,#247,2,均衡发展型,其他,278,89.47,88.8,0.754,0.665,0.1344,0.4,0.4039
R251,#248,2,均衡发展型,三线,296,63.19,57.0,0.7758,0.6221,0.337,0.55,0.4121
R387,#249,2,均衡发展型,其他,286,71.57,54.55,0.7443,0.6499,0.1637,0.4,0.4076
R494,#250,2,均衡发展型,其他,294,72.67,66.0,0.7534,0.6433,0.1724,0.4,0.4112
R635,#251,2,均衡发展型,其他,296,63.51,54.0,0.7661,0.6482,0.2637,0.4,0.4121
R646,#252,2,均衡发展型,其他,288,62.7,54.0,0.7595,0.6225,0.2343,0.4,0.4085
R716,#253,2,均衡发展型,二线,299,107.12,90.0,0.8253,0.699,0.5699,0.75,0.4135
R761,#254,2,均衡发展型,其他,294,64.91,64.36,0.7738,0.6497,0.1631,0.4,0.4112
R775,#255,2,均衡发展型,三线,296,60.98,57.0,0.7606,0.6342,0.2051,0.55,0.4121
R858,#256,2,均衡发展型,二线,300,60.29,54.0,0.7908,0.639,0.2976,0.75,0.4139
R885,#257,2,均衡发展型,三线,297,73.14,60.0,0.7525,0.6513,0.0978,0.55,0.4126
R892,#258,0,高端人才型,一线,22239,104.17,98.03,0.8537,0.7032,0.7473,1.0,0.9806
R988,#259,2,均衡发展型,其他,295,71.36,65.08,0.736,0.631,0.1333,0.4,0.4117
S124,#260,2,均衡发展型,三线,296,61.79,61.5,0.7453,0.6453,0.1507,0.55,0.4121
S198,#261,2,均衡发展型,其他,293,78.01,66.0,0.7764,0.668,0.2554,0.4,0.4108
S213,#262,2,均衡发展型,三线,297,70.81,60.0,0.79,0.6566,0.3037,0.55,0.4126
S295,#263,2,均衡发展型,三线,296,72.76,66.0,0.8307,0.6824,0.4471,0.55,0.4121
S297,#264,2,均衡发展型,其他,270,68.55,62.0,0.7778,0.6804,0.2043,0.4,0.4001
S303,#265,2,均衡发展型,其他,270,70.44,60.0,0.7954,0.673,0.2253,0.4,0.4001
S335,#266,2,均衡发展型,其他,287,72.41,54.0,0.7862,0.6212,0.3506,0.4,0.4081
S413,#267,2,均衡发展型,其他,291,69.32,69.43,0.768,0.6382,0.2844,0.4,0.4099
S500,#268,2,均衡发展型,其他,294,95.79,84.0,0.7806,0.6769,0.5008,0.4,0.4112
